start_date,end_date,ADM1_FR,cases,deaths
2022-10-01,2022-10-20,Ouest,8,0
2022-12-13,2022-12-27,Ouest,0,0
2023-01-04,2023-02-07,Ouest,0,0
2023-03-27,2023-04-14,Ouest,0,0
2023-05-01,2023-05-07,Ouest,0,0
2023-05-07,2023-05-15,Ouest,1,0
2023-05-16,2023-05-30,Ouest,0,0
2023-05-31,2023-06-12,Ouest,0,0
2023-06-13,2023-06-30,Ouest,0,0
2023-07-09,2023-07-16,Ouest,0,0
2023-07-16,2023-07-30,Ouest,0,0
2021-10-29,2021-11-01,Sud,0,0
2021-11-02,2021-11-11,Sud,0,0
2021-11-12,2021-12-27,Sud,12,0
2021-12-28,2022-01-04,Sud,8,1
2022-01-17,2022-01-30,Sud,6,0
2022-02-14,2022-02-20,Sud,120,0
2022-03-04,2022-03-10,Sud,0,0
2022-03-11,2022-03-20,Sud,0,0
2022-03-21,2022-03-27,Sud,5,0
2022-03-28,2022-04-03,Sud,1,0
2022-04-04,2022-04-13,Sud,1,0
2022-04-14,2022-04-30,Sud,0,0
2022-05-01,2022-05-13,Sud,0,0
2022-05-14,2022-05-22,Sud,0,0
2022-05-23,2022-06-06,Sud,0,0
2022-06-07,2022-06-20,Sud,0,0
2022-07-05,2022-07-17,Sud,0,0
2022-07-18,2022-07-28,Sud,0,0
2022-07-29,2022-08-10,Sud,0,0
2022-10-01,2022-10-20,Sud,0,0
2022-12-13,2022-12-27,Sud,0,0
2023-01-04,2023-02-07,Sud,0,0
2023-03-27,2023-04-14,Sud,0,0
2023-05-01,2023-05-07,Sud,0,0
2023-05-07,2023-05-15,Sud,0,0
2023-05-16,2023-05-30,Sud,20,0
2023-05-31,2023-06-12,Sud,5,1
2023-06-13,2023-06-30,Sud,14,2
2023-07-09,2023-07-16,Sud,1,0
2023-07-16,2023-07-30,Sud,1,0
2021-10-29,2021-11-01,Sud-Ouest,23,3
2021-11-02,2021-11-11,Sud-Ouest,23,3
2021-11-12,2021-12-27,Sud-Ouest,337,9
2021-12-28,2022-01-04,Sud-Ouest,99,2
2022-01-17,2022-01-30,Sud-Ouest,175,4
2022-02-14,2022-02-20,Sud-Ouest,87,3
2022-03-04,2022-03-10,Sud-Ouest,38,0
2022-03-11,2022-03-20,Sud-Ouest,110,3
2022-03-21,2022-03-27,Sud-Ouest,670,6
2022-03-28,2022-04-03,Sud-Ouest,598,6
2022-04-04,2022-04-13,Sud-Ouest,312,1
2022-04-14,2022-04-30,Sud-Ouest,414,0
2022-05-01,2022-05-13,Sud-Ouest,260,3
2022-05-14,2022-05-22,Sud-Ouest,218,3
2022-05-23,2022-06-06,Sud-Ouest,439,4
2022-06-07,2022-06-20,Sud-Ouest,115,2
2022-07-05,2022-07-17,Sud-Ouest,6,0
2022-07-18,2022-07-28,Sud-Ouest,1,0
2022-07-29,2022-08-10,Sud-Ouest,0,0
2022-10-01,2022-10-20,Sud-Ouest,0,0
2022-12-13,2022-12-27,Sud-Ouest,0,0
2023-01-04,2023-02-07,Sud-Ouest,0,0
2023-03-27,2023-04-14,Sud-Ouest,0,0
2023-05-01,2023-05-07,Sud-Ouest,0,0
2023-05-07,2023-05-15,Sud-Ouest,0,0
2023-05-16,2023-05-30,Sud-Ouest,0,0
2023-05-31,2023-06-12,Sud-Ouest,0,0
2023-06-13,2023-06-30,Sud-Ouest,0,0
2023-07-09,2023-07-16,Sud-Ouest,0,0
2023-07-16,2023-07-30,Sud-Ouest,0,0
