start_date,end_date,ADM1_FR,cases,deaths
2021-10-29,2021-11-01,Adamaoua,0,0
2021-11-02,2021-11-11,Adamaoua,0,0
2021-11-12,2021-12-27,Adamaoua,0,0
2021-12-28,2022-01-04,Adamaoua,0,0
2022-01-17,2022-01-30,Adamaoua,0,0
2022-02-14,2022-02-20,Adamaoua,0,0
2022-03-04,2022-03-10,Adamaoua,0,0
2022-03-11,2022-03-20,Adamaoua,0,0
2022-03-21,2022-03-27,Adamaoua,0,0
2022-03-28,2022-04-03,Adamaoua,0,0
2022-04-04,2022-04-13,Adamaoua,0,0
2022-04-14,2022-04-30,Adamaoua,0,0
2022-05-01,2022-05-13,Adamaoua,0,0
2022-05-14,2022-05-22,Adamaoua,0,0
2022-05-23,2022-06-06,Adamaoua,0,0
2022-06-07,2022-06-20,Adamaoua,0,0
2022-07-05,2022-07-17,Adamaoua,0,0
2022-07-18,2022-07-28,Adamaoua,0,0
2022-07-29,2022-08-10,Adamaoua,0,0
2022-10-01,2022-10-20,Adamaoua,0,0
2022-12-13,2022-12-27,Adamaoua,0,0
2023-01-04,2023-02-07,Adamaoua,0,0
2023-03-27,2023-04-14,Adamaoua,0,0
2023-05-01,2023-05-07,Adamaoua,0,0
2023-05-07,2023-05-15,Adamaoua,0,0
2023-05-16,2023-05-30,Adamaoua,0,0
2023-05-31,2023-06-12,Adamaoua,0,0
2023-06-13,2023-06-30,Adamaoua,0,0
2023-07-09,2023-07-16,Adamaoua,0,0
2023-07-16,2023-07-30,Adamaoua,0,0
2021-10-29,2021-11-01,Centre,32,1
2021-11-02,2021-11-11,Centre,15,0
2021-11-12,2021-12-27,Centre,0,0
2021-12-28,2022-01-04,Centre,0,0
2022-01-17,2022-01-30,Centre,0,0
2022-02-14,2022-02-20,Centre,0,0
2022-03-04,2022-03-10,Centre,6,0
2022-03-11,2022-03-20,Centre,10,1
2022-03-21,2022-03-27,Centre,3,0
2022-03-28,2022-04-03,Centre,2,0
2022-04-04,2022-04-13,Centre,3,0
2022-04-14,2022-04-30,Centre,27,0
2022-05-01,2022-05-13,Centre,0,0
2022-05-14,2022-05-22,Centre,1,0
2022-05-23,2022-06-06,Centre,36,0
2022-06-07,2022-06-20,Centre,5,0
2022-07-05,2022-07-17,Centre,18,0
2022-07-18,2022-07-28,Centre,18,0
2022-07-29,2022-08-10,Centre,45,0
2022-10-01,2022-10-20,Centre,16,1
2022-12-13,2022-12-27,Centre,36,1
2023-01-04,2023-02-07,Centre,35,3
2023-03-27,2023-04-14,Centre,42,1
2023-05-01,2023-05-07,Centre,354,21
2023-05-07,2023-05-15,Centre,501,14
2023-05-16,2023-05-30,Centre,1027,26
2023-05-31,2023-06-12,Centre,619,17
2023-06-13,2023-06-30,Centre,364,8
2023-07-09,2023-07-16,Centre,59,1
2023-07-16,2023-07-30,Centre,61,1
2021-10-29,2021-11-01,Est,0,0
2021-11-02,2021-11-11,Est,0,0
2021-11-12,2021-12-27,Est,0,0
2021-12-28,2022-01-04,Est,0,0
2022-01-17,2022-01-30,Est,0,0
2022-02-14,2022-02-20,Est,0,0
2022-03-04,2022-03-10,Est,0,0
2022-03-11,2022-03-20,Est,0,0
2022-03-21,2022-03-27,Est,0,0
2022-03-28,2022-04-03,Est,0,0
2022-04-04,2022-04-13,Est,0,0
2022-04-14,2022-04-30,Est,0,0
2022-05-01,2022-05-13,Est,0,0
2022-05-14,2022-05-22,Est,0,0
2022-05-23,2022-06-06,Est,0,0
2022-06-07,2022-06-20,Est,0,0
2022-07-05,2022-07-17,Est,3,1
2022-07-18,2022-07-28,Est,1,0
2022-07-29,2022-08-10,Est,0,0
2022-10-01,2022-10-20,Est,0,0
2022-12-13,2022-12-27,Est,0,0
2023-01-04,2023-02-07,Est,0,0
2023-03-27,2023-04-14,Est,0,0
2023-05-01,2023-05-07,Est,0,0
2023-05-07,2023-05-15,Est,7,3
2023-05-16,2023-05-30,Est,0,0
2023-05-31,2023-06-12,Est,0,0
2023-06-13,2023-06-30,Est,0,0
2023-07-09,2023-07-16,Est,0,0
2023-07-16,2023-07-30,Est,0,0
2021-10-29,2021-11-01,Extrême-Nord,0,0
2021-11-02,2021-11-11,Extrême-Nord,0,0
2021-11-12,2021-12-27,Extrême-Nord,0,0
2021-12-28,2022-01-04,Extrême-Nord,0,0
2022-01-17,2022-01-30,Extrême-Nord,1,0
2022-02-14,2022-02-20,Extrême-Nord,0,0
2022-03-04,2022-03-10,Extrême-Nord,0,0
2022-03-11,2022-03-20,Extrême-Nord,0,0
2022-03-21,2022-03-27,Extrême-Nord,0,0
2022-03-28,2022-04-03,Extrême-Nord,0,0
2022-04-04,2022-04-13,Extrême-Nord,0,0
2022-04-14,2022-04-30,Extrême-Nord,0,0
2022-05-01,2022-05-13,Extrême-Nord,0,0
2022-05-14,2022-05-22,Extrême-Nord,0,0
2022-05-23,2022-06-06,Extrême-Nord,0,0
2022-06-07,2022-06-20,Extrême-Nord,0,0
2022-07-05,2022-07-17,Extrême-Nord,0,0
2022-07-18,2022-07-28,Extrême-Nord,0,0
2022-07-29,2022-08-10,Extrême-Nord,0,0
2022-10-01,2022-10-20,Extrême-Nord,147,11
2022-12-13,2022-12-27,Extrême-Nord,1,0
2023-01-04,2023-02-07,Extrême-Nord,0,0
2023-03-27,2023-04-14,Extrême-Nord,0,0
2023-05-01,2023-05-07,Extrême-Nord,0,0
2023-05-07,2023-05-15,Extrême-Nord,0,0
2023-05-16,2023-05-30,Extrême-Nord,0,0
2023-05-31,2023-06-12,Extrême-Nord,0,0
2023-06-13,2023-06-30,Extrême-Nord,0,0
2023-07-09,2023-07-16,Extrême-Nord,0,0
2023-07-16,2023-07-30,Extrême-Nord,0,0
2021-10-29,2021-11-01,Littoral,0,0
2021-11-02,2021-11-11,Littoral,0,0
2021-11-12,2021-12-27,Littoral,18,0
2021-12-28,2022-01-04,Littoral,11,0
2022-01-17,2022-01-30,Littoral,6,0
2022-02-14,2022-02-20,Littoral,39,3
2022-03-04,2022-03-10,Littoral,10,2
2022-03-11,2022-03-20,Littoral,106,2
2022-03-21,2022-03-27,Littoral,76,6
2022-03-28,2022-04-03,Littoral,143,2
2022-04-04,2022-04-13,Littoral,257,4
2022-04-14,2022-04-30,Littoral,302,9
2022-05-01,2022-05-13,Littoral,159,1
2022-05-14,2022-05-22,Littoral,69,3
2022-05-23,2022-06-06,Littoral,134,4
2022-06-07,2022-06-20,Littoral,112,5
2022-07-05,2022-07-17,Littoral,181,3
2022-07-18,2022-07-28,Littoral,129,5
2022-07-29,2022-08-10,Littoral,239,5
2022-10-01,2022-10-20,Littoral,405,8
2022-12-13,2022-12-27,Littoral,20,0
2023-01-04,2023-02-07,Littoral,56,0
2023-03-27,2023-04-14,Littoral,18,0
2023-05-01,2023-05-07,Littoral,2,0
2023-05-07,2023-05-15,Littoral,3,0
2023-05-16,2023-05-30,Littoral,23,0
2023-05-31,2023-06-12,Littoral,29,0
2023-06-13,2023-06-30,Littoral,20,1
2023-07-09,2023-07-16,Littoral,23,0
2023-07-16,2023-07-30,Littoral,23,0
2021-10-29,2021-11-01,Nord,0,0
2021-11-02,2021-11-11,Nord,0,0
2021-11-12,2021-12-27,Nord,0,0
2021-12-28,2022-01-04,Nord,0,0
2022-01-17,2022-01-30,Nord,0,0
2022-02-14,2022-02-20,Nord,2,0
2022-03-04,2022-03-10,Nord,0,0
2022-03-11,2022-03-20,Nord,3,0
2022-03-21,2022-03-27,Nord,0,0
2022-03-28,2022-04-03,Nord,0,0
2022-04-04,2022-04-13,Nord,6,0
2022-04-14,2022-04-30,Nord,0,0
2022-05-01,2022-05-13,Nord,2,0
2022-05-14,2022-05-22,Nord,0,0
2022-05-23,2022-06-06,Nord,0,0
2022-06-07,2022-06-20,Nord,1,0
2022-07-05,2022-07-17,Nord,0,0
2022-07-18,2022-07-28,Nord,0,0
2022-07-29,2022-08-10,Nord,0,0
2022-10-01,2022-10-20,Nord,0,0
2022-12-13,2022-12-27,Nord,0,0
2023-01-04,2023-02-07,Nord,0,0
2023-03-27,2023-04-14,Nord,0,0
2023-05-01,2023-05-07,Nord,0,0
2023-05-07,2023-05-15,Nord,0,0
2023-05-16,2023-05-30,Nord,0,0
2023-05-31,2023-06-12,Nord,0,0
2023-06-13,2023-06-30,Nord,0,0
2023-07-09,2023-07-16,Nord,0,0
2023-07-16,2023-07-30,Nord,0,0
2021-10-29,2021-11-01,Nord-Ouest,0,0
2021-11-02,2021-11-11,Nord-Ouest,0,0
2021-11-12,2021-12-27,Nord-Ouest,0,0
2021-12-28,2022-01-04,Nord-Ouest,0,0
2022-01-17,2022-01-30,Nord-Ouest,0,0
2022-02-14,2022-02-20,Nord-Ouest,0,0
2022-03-04,2022-03-10,Nord-Ouest,0,0
2022-03-11,2022-03-20,Nord-Ouest,0,0
2022-03-21,2022-03-27,Nord-Ouest,0,0
2022-03-28,2022-04-03,Nord-Ouest,0,0
2022-04-04,2022-04-13,Nord-Ouest,0,0
2022-04-14,2022-04-30,Nord-Ouest,0,0
2022-05-01,2022-05-13,Nord-Ouest,0,0
2022-05-14,2022-05-22,Nord-Ouest,0,0
2022-05-23,2022-06-06,Nord-Ouest,0,0
2022-06-07,2022-06-20,Nord-Ouest,0,0
2022-07-05,2022-07-17,Nord-Ouest,0,0
2022-07-18,2022-07-28,Nord-Ouest,0,0
2022-07-29,2022-08-10,Nord-Ouest,0,0
2022-10-01,2022-10-20,Nord-Ouest,0,0
2022-12-13,2022-12-27,Nord-Ouest,0,0
2023-01-04,2023-02-07,Nord-Ouest,0,0
2023-03-27,2023-04-14,Nord-Ouest,0,0
2023-05-01,2023-05-07,Nord-Ouest,0,0
2023-05-07,2023-05-15,Nord-Ouest,0,0
2023-05-16,2023-05-30,Nord-Ouest,0,0
2023-05-31,2023-06-12,Nord-Ouest,0,0
2023-06-13,2023-06-30,Nord-Ouest,0,0
2023-07-09,2023-07-16,Nord-Ouest,0,0
2023-07-16,2023-07-30,Nord-Ouest,0,0
2021-10-29,2021-11-01,Ouest,0,0
2021-11-02,2021-11-11,Ouest,0,0
2021-11-12,2021-12-27,Ouest,0,0
2021-12-28,2022-01-04,Ouest,0,0
2022-01-17,2022-01-30,Ouest,0,0
2022-02-14,2022-02-20,Ouest,0,0
2022-03-04,2022-03-10,Ouest,0,0
2022-03-11,2022-03-20,Ouest,0,0
2022-03-21,2022-03-27,Ouest,0,0
2022-03-28,2022-04-03,Ouest,0,0
2022-04-04,2022-04-13,Ouest,0,0
2022-04-14,2022-04-30,Ouest,0,0
2022-05-01,2022-05-13,Ouest,0,0
2022-05-14,2022-05-22,Ouest,4,0
2022-05-23,2022-06-06,Ouest,23,2
2022-06-07,2022-06-20,Ouest,24,2
2022-07-05,2022-07-17,Ouest,15,1
2022-07-18,2022-07-28,Ouest,10,1
2022-07-29,2022-08-10,Ouest,11,0
