start_date,end_date,ADM1_FR,skin_temperature
2022-02-14,2022-02-20,Sud,298.9579720064362
2022-02-14,2022-02-20,Sud-Ouest,300.64620764425587
2022-02-14,2022-02-20,Ouest,299.61209941596945
2022-03-04,2022-03-10,Adamaoua,301.9135756898156
2022-03-04,2022-03-10,Centre,301.34934734010403
2022-03-04,2022-03-10,Est,300.97935595020516
2022-03-04,2022-03-10,Extrême-Nord,307.45322373415763
2022-03-04,2022-03-10,Littoral,300.0709935950097
2022-03-04,2022-03-10,Nord,306.21499742711376
2022-03-04,2022-03-10,Nord-Ouest,297.6959566628254
2022-03-04,2022-03-10,Sud,298.6967810201511
2022-03-04,2022-03-10,Sud-Ouest,299.57801009556215
2022-03-04,2022-03-10,Ouest,299.85113751593946
2022-03-11,2022-03-20,Adamaoua,301.6766215349469
2022-03-11,2022-03-20,Centre,300.98002532358345
2022-03-11,2022-03-20,Est,300.68434492664187
2022-03-11,2022-03-20,Extrême-Nord,304.955285935308
2022-03-11,2022-03-20,Littoral,299.7021953496846
2022-03-11,2022-03-20,Nord,304.81735386806605
2022-03-11,2022-03-20,Nord-Ouest,297.9015357575535
2022-03-11,2022-03-20,Sud,298.09997826836343
2022-03-11,2022-03-20,Sud-Ouest,299.644441040835
2022-03-11,2022-03-20,Ouest,299.5469547244601
2022-03-21,2022-03-27,Adamaoua,301.90265932641074
2022-03-21,2022-03-27,Centre,300.9986656447454
2022-03-21,2022-03-27,Est,300.41937550487125
2022-03-21,2022-03-27,Extrême-Nord,306.08631588835823
2022-03-21,2022-03-27,Littoral,299.61943413047834
2022-03-21,2022-03-27,Nord,305.6111486699611
2022-03-21,2022-03-27,Nord-Ouest,298.1971245206643
2022-03-21,2022-03-27,Sud,298.7131731438386
2022-03-21,2022-03-27,Sud-Ouest,299.3627310169096
2022-03-21,2022-03-27,Ouest,299.5044130288881
2022-03-28,2022-04-03,Adamaoua,302.05408802702743
2022-03-28,2022-04-03,Centre,301.5244273984523
2022-03-28,2022-04-03,Est,300.7858720375061
2022-03-28,2022-04-03,Extrême-Nord,305.7396667558467
2022-03-28,2022-04-03,Littoral,299.9123046084474
2022-03-28,2022-04-03,Nord,305.0751560088242
2022-03-28,2022-04-03,Nord-Ouest,298.2400040013616
2022-03-28,2022-04-03,Sud,298.3736952101471
2022-03-28,2022-04-03,Sud-Ouest,299.93825231522567
2022-03-28,2022-04-03,Ouest,300.1905290413964
2022-04-04,2022-04-13,Adamaoua,299.93718662931053
2022-04-04,2022-04-13,Centre,299.2461639106371
2022-04-04,2022-04-13,Est,299.27195822893276
2022-04-04,2022-04-13,Extrême-Nord,309.88763520278314
2022-04-04,2022-04-13,Littoral,298.9052221996212
2022-04-04,2022-04-13,Nord,307.1228947377226
2022-04-04,2022-04-13,Nord-Ouest,296.9916786833155
2022-04-04,2022-04-13,Sud,297.90579779748106
2022-04-04,2022-04-13,Sud-Ouest,299.0167406131992
2022-04-04,2022-04-13,Ouest,298.0376497373383
2022-04-14,2022-04-30,Adamaoua,298.202205244501
2022-04-14,2022-04-30,Centre,298.1552708802256
2022-04-14,2022-04-30,Est,297.9912409153698
2022-04-14,2022-04-30,Extrême-Nord,309.178625841283
2022-04-14,2022-04-30,Littoral,298.29753701044007
2022-04-14,2022-04-30,Nord,304.6693605538757
2022-04-14,2022-04-30,Nord-Ouest,295.44420905770653
2022-04-14,2022-04-30,Sud,297.0299193687054
2022-04-14,2022-04-30,Sud-Ouest,297.8248274842034
2022-04-14,2022-04-30,Ouest,296.79271434036673
2022-05-01,2022-05-13,Adamaoua,298.4896678766661
2022-05-01,2022-05-13,Centre,298.41452681390336
2022-05-01,2022-05-13,Est,298.6272111480546
2022-05-01,2022-05-13,Extrême-Nord,310.12383133561536
2022-05-01,2022-05-13,Littoral,298.73791532683805
2022-05-01,2022-05-13,Nord,305.8170758358957
2022-05-01,2022-05-13,Nord-Ouest,295.98079152924817
2022-05-01,2022-05-13,Sud,297.46633149745526
2022-05-01,2022-05-13,Sud-Ouest,298.1867973870269
2022-05-01,2022-05-13,Ouest,297.14347452265537
2022-05-14,2022-05-22,Adamaoua,297.12085641706346
2022-05-14,2022-05-22,Centre,297.39586054531185
2022-05-14,2022-05-22,Est,297.7681321056663
2022-05-14,2022-05-22,Extrême-Nord,307.44461852782473
2022-05-14,2022-05-22,Littoral,297.97639395118927
2022-05-14,2022-05-22,Nord,303.2985211598077
2022-05-14,2022-05-22,Nord-Ouest,294.864849397259
2022-05-14,2022-05-22,Sud,297.0574509586439
2022-05-14,2022-05-22,Sud-Ouest,297.6417924148384
2022-05-14,2022-05-22,Ouest,295.80759738686123
2022-05-23,2022-06-06,Adamaoua,296.6604845946667
2022-05-23,2022-06-06,Centre,297.08297398491396
2022-05-23,2022-06-06,Est,297.2879460667754
2022-05-23,2022-06-06,Extrême-Nord,308.0062444035128
2022-05-23,2022-06-06,Littoral,297.58750964059834
2022-05-23,2022-06-06,Nord,303.5213964774495
2022-05-23,2022-06-06,Nord-Ouest,294.63078549499267
2022-05-23,2022-06-06,Sud,296.47101411577853
2022-05-23,2022-06-06,Sud-Ouest,297.2798413456748
2022-05-23,2022-06-06,Ouest,295.5493212815279
2022-06-07,2022-06-20,Adamaoua,295.70718510388497
2022-06-07,2022-06-20,Centre,296.61418287383907
2022-06-07,2022-06-20,Est,296.8172331837035
2022-06-07,2022-06-20,Extrême-Nord,305.93124877605385
2022-06-07,2022-06-20,Littoral,297.02868736959664
2022-06-07,2022-06-20,Nord,301.37230564661934
2022-06-07,2022-06-20,Nord-Ouest,293.61413054387015
2022-06-07,2022-06-20,Sud,296.5359231806805
2022-06-07,2022-06-20,Sud-Ouest,296.5803525801973
2022-06-07,2022-06-20,Ouest,294.7268872721386
2022-07-05,2022-07-17,Adamaoua,295.2520026718216
2022-07-05,2022-07-17,Centre,296.6057286950205
2022-07-05,2022-07-17,Est,297.0265724957545
2022-07-05,2022-07-17,Extrême-Nord,303.52506607633944
2022-07-05,2022-07-17,Littoral,296.66944992761194
2022-07-05,2022-07-17,Nord,300.234709189564
2022-07-05,2022-07-17,Nord-Ouest,293.3835820777515
2022-07-05,2022-07-17,Sud,296.77714591888974
2022-07-05,2022-07-17,Sud-Ouest,296.1171393327144
2022-07-05,2022-07-17,Ouest,294.5784676414968
2022-07-18,2022-07-28,Adamaoua,294.4603400868539
2022-07-18,2022-07-28,Centre,295.9454110018725
2022-07-18,2022-07-28,Est,296.36790299126505
2022-07-18,2022-07-28,Extrême-Nord,300.4225059786779
2022-07-18,2022-07-28,Littoral,296.2731247132515
2022-07-18,2022-07-28,Nord,297.8757814205082
2022-07-18,2022-07-28,Nord-Ouest,292.92615977895014
2022-07-18,2022-07-28,Sud,296.15486501915115
2022-07-18,2022-07-28,Sud-Ouest,295.81722286798095
2022-07-18,2022-07-28,Ouest,294.01723681245613
2022-07-29,2022-08-10,Adamaoua,294.8508134890737
2022-07-29,2022-08-10,Centre,296.5625664956199
2022-07-29,2022-08-10,Est,297.04828318745655
2022-07-29,2022-08-10,Extrême-Nord,299.4158278006917
2022-07-29,2022-08-10,Littoral,296.68497828539
2022-07-29,2022-08-10,Nord,298.01229141120126
2022-07-29,2022-08-10,Nord-Ouest,293.26250965999935
2022-07-29,2022-08-10,Sud,296.7553799284034
2022-07-29,2022-08-10,Sud-Ouest,296.1924420808331
2022-07-29,2022-08-10,Ouest,294.52210524818116
2022-10-01,2022-10-20,Adamaoua,295.70598063712936
2022-10-01,2022-10-20,Centre,296.2065055198234
2022-10-01,2022-10-20,Est,296.376498785737
2022-10-01,2022-10-20,Extrême-Nord,302.2377740350545
2022-10-01,2022-10-20,Littoral,297.0974709683
2022-10-01,2022-10-20,Nord,299.1736676339104
2022-10-01,2022-10-20,Nord-Ouest,293.5122159504368
2022-10-01,2022-10-20,Sud,296.13742491578995
2022-10-01,2022-10-20,Sud-Ouest,296.5643042569605
2022-10-01,2022-10-20,Ouest,294.49230105939114
2022-12-13,2022-12-27,Adamaoua,297.79132362311094
2022-12-13,2022-12-27,Centre,298.6387199901233
2022-12-13,2022-12-27,Est,298.16304712468855
2022-12-13,2022-12-27,Extrême-Nord,298.6304649645768
2022-12-13,2022-12-27,Littoral,298.56315295182674
2022-12-13,2022-12-27,Nord,299.1616626576684
2022-12-13,2022-12-27,Nord-Ouest,295.05501706045385
2022-12-13,2022-12-27,Sud,297.04103980066856
2022-12-13,2022-12-27,Sud-Ouest,298.4069127025959
2022-12-13,2022-12-27,Ouest,297.09982918904603
2023-01-04,2023-02-07,Adamaoua,299.22609665022026
2023-01-04,2023-02-07,Centre,300.3258373931802
2023-01-04,2023-02-07,Est,299.82600290486664
2023-01-04,2023-02-07,Extrême-Nord,300.0966537501441
2023-01-04,2023-02-07,Littoral,299.37402772506766
2023-01-04,2023-02-07,Nord,300.6466048886309
2023-01-04,2023-02-07,Nord-Ouest,296.4180707888353
2023-01-04,2023-02-07,Sud,298.1207847757418
2023-01-04,2023-02-07,Sud-Ouest,299.459700316845
2023-01-04,2023-02-07,Ouest,298.60781618487977
2023-03-27,2023-04-14,Adamaoua,300.3193034085619
2023-03-27,2023-04-14,Centre,299.4247224173588
2023-03-27,2023-04-14,Est,298.68889502665826
2023-03-27,2023-04-14,Extrême-Nord,308.3826207037293
2023-03-27,2023-04-14,Littoral,298.7975614238294
2023-03-27,2023-04-14,Nord,306.2635872753969
2023-03-27,2023-04-14,Nord-Ouest,297.3170065241887
2023-03-27,2023-04-14,Sud,297.438895929358
2023-03-27,2023-04-14,Sud-Ouest,298.5232514554139
2023-03-27,2023-04-14,Ouest,298.1845476944121
2023-05-01,2023-05-07,Adamaoua,297.1712334012472
2023-05-01,2023-05-07,Centre,297.49678241119966
2023-05-01,2023-05-07,Est,297.3401072196687
2023-05-01,2023-05-07,Extrême-Nord,308.31095349626975
2023-05-01,2023-05-07,Littoral,298.11597314844016
2023-05-01,2023-05-07,Nord,304.7798302351487
2023-05-01,2023-05-07,Nord-Ouest,295.23677378369695
2023-05-01,2023-05-07,Sud,296.82514569013534
2023-05-01,2023-05-07,Sud-Ouest,297.77545904149173
2023-05-01,2023-05-07,Ouest,295.9818904358402
2023-05-07,2023-05-15,Adamaoua,298.42324462787747
2023-05-07,2023-05-15,Centre,298.9118611750105
2023-05-07,2023-05-15,Est,298.50979120154506
2023-05-07,2023-05-15,Extrême-Nord,310.70682862974786
2023-05-07,2023-05-15,Littoral,299.35882344395407
2023-05-07,2023-05-15,Nord,306.47993374157636
2023-05-07,2023-05-15,Nord-Ouest,296.0901180716077
2023-05-07,2023-05-15,Sud,298.1672975080808
2023-05-07,2023-05-15,Sud-Ouest,298.87056236994897
2023-05-07,2023-05-15,Ouest,297.27821077554404
2023-05-16,2023-05-30,Adamaoua,298.2603720756149
2023-05-16,2023-05-30,Centre,298.8521627690165
2023-05-16,2023-05-30,Est,298.78192614461955
2023-05-16,2023-05-30,Extrême-Nord,309.29128097890435
2023-05-16,2023-05-30,Littoral,298.8380902321187
2023-05-16,2023-05-30,Nord,304.9507713985932
2023-05-16,2023-05-30,Nord-Ouest,296.1197245842736
2023-05-16,2023-05-30,Sud,298.0003590578028
2023-05-16,2023-05-30,Sud-Ouest,298.4321757201238
2023-05-16,2023-05-30,Ouest,297.33044682342927
2023-05-31,2023-06-12,Adamaoua,296.2568098348907
2023-05-31,2023-06-12,Centre,297.231463554781
2023-05-31,2023-06-12,Est,297.37930744659167
2023-05-31,2023-06-12,Extrême-Nord,304.9092496940444
2023-05-31,2023-06-12,Littoral,297.5228846518593
2023-05-31,2023-06-12,Nord,301.5207363992215
2023-05-31,2023-06-12,Nord-Ouest,294.26356723369554
2023-05-31,2023-06-12,Sud,296.8941720232697
2023-05-31,2023-06-12,Sud-Ouest,297.10857961976177
2023-05-31,2023-06-12,Ouest,295.47990939432333
2023-06-13,2023-06-30,Adamaoua,295.45706959885194
2023-06-13,2023-06-30,Centre,296.81907099124845
2023-06-13,2023-06-30,Est,297.07414447079657
2023-06-13,2023-06-30,Extrême-Nord,303.334105771111
2023-06-13,2023-06-30,Littoral,297.20810588659265
2023-06-13,2023-06-30,Nord,299.6104896918021
2023-06-13,2023-06-30,Nord-Ouest,293.6836328741382
2023-06-13,2023-06-30,Sud,297.08126456497956
2023-06-13,2023-06-30,Sud-Ouest,296.5861383391606
2023-06-13,2023-06-30,Ouest,294.7916684673814
2023-07-09,2023-07-16,Adamaoua,295.931552649889
2023-07-09,2023-07-16,Centre,297.20054277192503
2023-07-09,2023-07-16,Est,297.54561227224116
2023-07-09,2023-07-16,Extrême-Nord,303.66042586943155
2023-07-09,2023-07-16,Littoral,297.91234941992917
2023-07-09,2023-07-16,Nord,300.2136430068275
2023-07-09,2023-07-16,Nord-Ouest,294.3193595812373
2023-07-09,2023-07-16,Sud,297.20916737297597
2023-07-09,2023-07-16,Sud-Ouest,297.3072551991767
2023-07-09,2023-07-16,Ouest,295.26084713582924
2023-07-16,2023-07-30,Adamaoua,296.05887491034275
2023-07-16,2023-07-30,Centre,297.47023286938077
2023-07-16,2023-07-30,Est,297.84392034474024
2023-07-16,2023-07-30,Extrême-Nord,303.5191607162518
2023-07-16,2023-07-30,Littoral,297.4529902851829
2023-07-16,2023-07-30,Nord,300.0965709081489
2023-07-16,2023-07-30,Nord-Ouest,294.25924547846
2023-07-16,2023-07-30,Sud,297.29908142788685
2023-07-16,2023-07-30,Sud-Ouest,296.8634665118723
2023-07-16,2023-07-30,Ouest,295.3560794418785
