start_date,end_date,ADM1_FR,skin_temperature
2021-10-29,2021-11-01,Adamaoua,297.087976590721
2021-10-29,2021-11-01,Centre,297.1419906689681
2021-10-29,2021-11-01,Est,297.68155823573636
2021-10-29,2021-11-01,Extrême-Nord,304.5592156209566
2021-10-29,2021-11-01,Littoral,297.5639744317096
2021-10-29,2021-11-01,Nord,301.7562123237201
2021-10-29,2021-11-01,Nord-Ouest,294.24215378206094
2021-10-29,2021-11-01,Sud,296.92737419714007
2021-10-29,2021-11-01,Sud-Ouest,297.033689079426
2021-10-29,2021-11-01,Ouest,295.36428430559687
2021-11-02,2021-11-11,Adamaoua,297.38679888838993
2021-11-02,2021-11-11,Centre,297.32097315900046
2021-11-02,2021-11-11,Est,297.40774064034196
2021-11-02,2021-11-11,Extrême-Nord,305.0524696474757
2021-11-02,2021-11-11,Littoral,297.8910087583066
2021-11-02,2021-11-11,Nord,302.79210470425704
2021-11-02,2021-11-11,Nord-Ouest,294.2814681838483
2021-11-02,2021-11-11,Sud,296.8952680612519
2021-11-02,2021-11-11,Sud-Ouest,297.07836066544047
2021-11-02,2021-11-11,Ouest,295.518497078804
2021-11-12,2021-12-27,Adamaoua,298.16835624795885
2021-11-12,2021-12-27,Centre,298.27862193885153
2021-11-12,2021-12-27,Est,298.2942588015578
2021-11-12,2021-12-27,Extrême-Nord,301.81161478804336
2021-11-12,2021-12-27,Littoral,298.90106352665134
2021-11-12,2021-12-27,Nord,301.390642208848
2021-11-12,2021-12-27,Nord-Ouest,295.005640317173
2021-11-12,2021-12-27,Sud,297.79325472596474
2021-11-12,2021-12-27,Sud-Ouest,298.0775972289167
2021-11-12,2021-12-27,Ouest,296.4864231974423
2021-12-28,2022-01-04,Adamaoua,298.1335963077043
2021-12-28,2022-01-04,Centre,299.02751853531373
2021-12-28,2022-01-04,Est,298.999229978433
2021-12-28,2022-01-04,Extrême-Nord,298.7196729431242
2021-12-28,2022-01-04,Littoral,298.9188820844129
2021-12-28,2022-01-04,Nord,299.63941754604133
2021-12-28,2022-01-04,Nord-Ouest,295.2945431070691
2021-12-28,2022-01-04,Sud,297.5533098332711
2021-12-28,2022-01-04,Sud-Ouest,298.70022824756825
2021-12-28,2022-01-04,Ouest,297.60518424710375
2022-01-17,2022-01-30,Adamaoua,297.72865720425443
2022-01-17,2022-01-30,Centre,299.6503807640792
2022-01-17,2022-01-30,Est,299.18010686706907
2022-01-17,2022-01-30,Extrême-Nord,297.34972770483546
2022-01-17,2022-01-30,Littoral,299.71203485604894
2022-01-17,2022-01-30,Nord,298.4034044982531
2022-01-17,2022-01-30,Nord-Ouest,295.3163367026457
2022-01-17,2022-01-30,Sud,298.408253631548
2022-01-17,2022-01-30,Sud-Ouest,299.1488064255064
2022-01-17,2022-01-30,Ouest,297.8027528191864
2022-02-14,2022-02-20,Adamaoua,300.18172406262516
2022-02-14,2022-02-20,Centre,301.190661733333
2022-02-14,2022-02-20,Est,300.6199976144521
2022-02-14,2022-02-20,Extrême-Nord,301.92163488063477
2022-02-14,2022-02-20,Littoral,300.249976565218
2022-02-14,2022-02-20,Nord,302.13514445625157
2022-02-14,2022-02-20,Nord-Ouest,297.0361764533531
