ADM1_FR,Conflicts
Adamaoua,5.1
Centre,6.6
Est,8
Extrême-Nord,10
Littoral,6.1
Nord,6.6
Nord-Ouest,10
Ouest,5.6
Sud,5.1
Sud-Ouest,9
