ADM1_FR,Pop_HCFs
Adamaoua,0.383877159
Centre,0.116863387
Est,0.856164384
Extrême-Nord,6.289308176
Littoral,0.303490137
Nord,0.417536534
Nord-Ouest,1.798561151
Ouest,0.583771162
Sud,0.337609723
Sud-Ouest,0.263435195
