Région,District,Aire de santé,Population 2023 estimée (Les deux sexes),LiveBirths (Naissance vivante),0-11 mois,Femmes enceintes attendues,FAP (15-49 ans),enfants 0-59 mois,enfants 12-23 mois,enfants 12-59 mois,Adolescents 10-14 ans Féminin,15-19 ans Féminin,50 ans et plus Masculin,50 ans et plus Féminin
ADAMAOUA,BANKIM,Atta,17718,721,675,734,4414,3004,615,2329,1114,1058,711,743
ADAMAOUA,BANKIM,Bandam,10874,443,414,451,2709,1843,377,1429,684,649,436,456
ADAMAOUA,BANKIM,Bankim Rural,10834,441,413,449,2699,1837,376,1424,681,647,434,454
ADAMAOUA,BANKIM,Bankim Urbain,23791,968,906,986,5927,4033,826,3127,1496,1421,954,997
ADAMAOUA,BANKIM,Nyamboya,16442,669,626,681,4096,2787,571,2161,1034,982,659,689
ADAMAOUA,BANKIM,Somie,13949,568,531,578,3475,2365,484,1833,877,833,559,585
ADAMAOUA,BANKIM,Songkolong,31436,1280,1197,1303,7831,5329,1091,4132,1977,1877,1261,1317
ADAMAOUA,BANYO,Allat,17644,718,672,731,4396,2991,612,2319,1110,1054,708,739
ADAMAOUA,BANYO,Banyo 1 Fada,29016,1181,1105,1202,7229,4919,1007,3814,1825,1733,1164,1216
ADAMAOUA,BANYO,Banyo 2 Tiket,39229,1597,1494,1625,9773,6650,1362,5156,2467,2343,1573,1644
ADAMAOUA,BANYO,Mayo Darle,35259,1435,1343,1461,8784,5977,1224,4634,2218,2106,1414,1478
ADAMAOUA,BANYO,Mbamti Katarko,13341,543,508,553,3324,2262,463,1753,839,797,535,559
ADAMAOUA,BANYO,Ndi Wawa,16783,683,639,695,4181,2845,583,2206,1056,1002,673,703
ADAMAOUA,BANYO,Sambo Labo,21185,862,807,878,5278,3591,735,2785,1333,1265,850,888
ADAMAOUA,BELEL,Bayara,11863,483,452,492,2955,2011,412,1559,746,709,476,497
ADAMAOUA,BELEL,Belel,15208,619,579,630,3789,2578,528,1999,957,908,610,637
ADAMAOUA,BELEL,Djilougou,3337,136,127,138,831,566,116,439,210,199,134,140
ADAMAOUA,BELEL,Idool,4597,187,175,190,1145,779,160,604,289,275,184,193
ADAMAOUA,BELEL,Tello,9188,374,350,381,2289,1558,319,1208,578,549,368,385
ADAMAOUA,BELEL,Tournigal,9194,374,350,381,2290,1559,319,1208,578,549,369,385
ADAMAOUA,DANG,Dang,13000,529,495,539,3239,2204,451,1709,818,776,521,545
ADAMAOUA,DANG,Bini Dang,14224,579,542,589,3544,2411,494,1870,895,850,570,596
ADAMAOUA,DANG,Hangloa,14999,611,571,621,3737,2543,521,1971,943,896,601,629
ADAMAOUA,DANG,Mandourou,5744,234,219,238,1431,974,199,755,361,343,230,241
ADAMAOUA,DANG,Nganha,17941,730,683,743,4469,3041,623,2358,1128,1072,719,752
ADAMAOUA,DANG,Martap,8804,358,335,365,2193,1493,306,1157,554,526,353,369
ADAMAOUA,DANG,Lougga Tappadi,4751,193,181,197,1184,805,165,624,299,284,191,199
ADAMAOUA,DANG,Lewa Mboum,3799,155,145,157,946,644,132,499,239,227,152,159
ADAMAOUA,DANG,Likok,9777,398,372,405,2436,1658,339,1285,615,584,392,410
ADAMAOUA,DJOHONG,Djohong,28908,1177,1101,1198,7202,4901,1004,3800,1818,1727,1159,1211
ADAMAOUA,DJOHONG,Kombolaka,20659,841,787,856,5147,3502,717,2715,1299,1234,828,866
ADAMAOUA,DJOHONG,Ngaoui,25415,1034,968,1053,6332,4309,882,3341,1599,1518,1019,1065
ADAMAOUA,DJOHONG,Yarmbang,10845,441,413,449,2702,1839,376,1425,682,648,435,454
ADAMAOUA,MEIGANGA,Badjer,5474,223,209,227,1364,928,190,720,344,327,220,229
ADAMAOUA,MEIGANGA,Beka Guiwang,7305,297,278,303,1820,1238,254,960,459,436,293,306
ADAMAOUA,MEIGANGA,Dir,21648,881,825,897,5393,3670,751,2845,1362,1293,868,907
ADAMAOUA,MEIGANGA,Gunbela,13287,541,506,551,3310,2253,461,1746,836,794,533,557
ADAMAOUA,MEIGANGA,Kalaldi,7813,318,298,324,1946,1324,271,1027,491,467,313,327
ADAMAOUA,MEIGANGA,Lokoti,13077,532,498,542,3258,2217,454,1719,823,781,524,548
ADAMAOUA,MEIGANGA,Mbarang,7342,299,280,304,1829,1245,255,965,462,438,294,308
ADAMAOUA,MEIGANGA,Mboula,6523,266,248,270,1625,1106,226,857,410,390,262,273
ADAMAOUA,MEIGANGA,Meidougou,19016,774,724,788,4737,3224,660,2499,1196,1136,763,797
ADAMAOUA,MEIGANGA,Meiganga prive,28176,1147,1073,1167,7019,4777,978,3703,1772,1683,1130,1181
ADAMAOUA,MEIGANGA,Meiganga public,49421,2012,1882,2048,12312,8378,1716,6496,3109,2952,1982,2071
ADAMAOUA,NGAOUNDAL,Bagodo,7146,291,272,296,1780,1211,248,939,449,427,287,299
ADAMAOUA,NGAOUNDAL,Beka Gotto,6508,265,248,270,1621,1103,226,855,409,389,261,273
ADAMAOUA,NGAOUNDAL,Danfili,12904,525,492,535,3215,2188,448,1696,812,771,517,541
ADAMAOUA,NGAOUNDAL,Ngaoundal Catholique,29607,1205,1128,1227,7376,5019,1028,3892,1862,1768,1187,1241
ADAMAOUA,NGAOUNDAL,Ngaoundal CMA,36135,1471,1376,1497,9002,6126,1254,4749,2273,2158,1449,1514
ADAMAOUA,NGAOUNDAL,Pangar,6787,276,259,281,1691,1151,236,892,427,405,272,284
ADAMAOUA,NGAOUNDERE RURAL,Beka-Hossere,13421,546,511,556,3344,2275,466,1764,844,802,538,562
ADAMAOUA,NGAOUNDERE RURAL,Dibi,19131,779,729,793,4766,3243,664,2515,1203,1143,767,802
ADAMAOUA,NGAOUNDERE RURAL,Mbang-Mboum,22363,910,852,927,5571,3791,776,2939,1407,1336,897,937
ADAMAOUA,NGAOUNDERE RURAL,Mbe,24823,1010,946,1029,6184,4208,862,3263,1561,1483,995,1040
ADAMAOUA,NGAOUNDERE RURAL,Nyambaka,14073,573,536,583,3506,2386,489,1850,885,840,564,590
ADAMAOUA,NGAOUNDERE RURAL,Sassa Mbersi,6720,274,256,278,1674,1139,233,883,423,401,269,282
ADAMAOUA,NGAOUNDERE RURAL,Wack,10604,432,404,439,2642,1798,368,1394,667,633,425,444
