Région,District,Aire de santé,Population 2023 estimée (Les deux sexes),LiveBirths (Naissance vivante),0-11 mois,Femmes enceintes attendues,FAP (15-49 ans),enfants 0-59 mois,enfants 12-23 mois,enfants 12-59 mois,Adolescents 10-14 ans Féminin,15-19 ans Féminin,50 ans et plus Masculin,50 ans et plus Féminin
ADAMAOUA,NGAOUNDERE RURAL,Wassande,7813,318,298,324,1946,1324,271,1027,491,467,313,327
ADAMAOUA,NGAOUNDERE URBAIN,Bamyanga,97681,3976,3721,4047,24335,16560,3391,12839,6144,5834,3917,4094
ADAMAOUA,NGAOUNDERE URBAIN,Boumdjere,93152,3792,3548,3860,23207,15792,3234,12244,5859,5564,3736,3904
ADAMAOUA,NGAOUNDERE URBAIN,Ndelbe,88273,3593,3362,3658,21991,14965,3064,11602,5552,5272,3540,3699
ADAMAOUA,NGAOUNDERE URBAIN,Sabongari,109759,4468,4181,4548,27344,18607,3810,14426,6904,6555,4402,4600
ADAMAOUA,TIBATI,Allat Mengack,8838,360,337,366,2202,1498,307,1162,556,528,354,370
ADAMAOUA,TIBATI,Djombi,10439,425,398,433,2601,1770,362,1372,657,623,419,437
ADAMAOUA,TIBATI,Mbakaou,12212,497,465,506,3042,2070,424,1605,768,729,490,512
ADAMAOUA,TIBATI,Meidjamba,7366,300,281,305,1835,1249,256,968,463,440,295,309
ADAMAOUA,TIBATI,Minim,4625,188,176,192,1152,784,161,608,291,276,185,194
ADAMAOUA,TIBATI,Ngaoubela,16603,676,632,688,4136,2815,576,2182,1044,992,666,696
ADAMAOUA,TIBATI,Tibati CMA,19866,809,757,823,4949,3368,690,2611,1250,1186,797,833
ADAMAOUA,TIBATI,Tibati CSI,19680,801,750,815,4903,3336,683,2587,1238,1175,789,825
ADAMAOUA,TIBATI,Tongo (Tibati),17044,694,649,706,4246,2889,592,2240,1072,1018,684,714
ADAMAOUA,TIGNERE,Alme,7319,298,279,303,1823,1241,254,962,460,437,294,307
ADAMAOUA,TIGNERE,Dodeo,3738,152,142,155,931,634,130,491,235,223,150,157
ADAMAOUA,TIGNERE,Doualayel,11270,459,429,467,2808,1911,391,1481,709,673,452,472
ADAMAOUA,TIGNERE,Gadjiwan,6060,247,231,251,1510,1027,210,797,381,362,243,254
ADAMAOUA,TIGNERE,Galim Tignere,19769,805,753,819,4925,3351,686,2598,1243,1181,793,828
ADAMAOUA,TIGNERE,Garbaya Yelwa,7414,302,282,307,1847,1257,257,975,466,443,297,311
ADAMAOUA,TIGNERE,Kontcha,7676,312,292,318,1912,1301,266,1009,483,458,308,322
ADAMAOUA,TIGNERE,Libong,12379,504,472,513,3084,2099,430,1627,779,739,496,519
ADAMAOUA,TIGNERE,Mayo Baleo,12349,503,470,512,3076,2094,429,1623,777,738,495,518
ADAMAOUA,TIGNERE,Tchabal Mbabo,7598,309,289,315,1893,1288,264,999,478,454,305,318
ADAMAOUA,TIGNERE,Tignere,27452,1117,1046,1137,6839,4654,953,3608,1727,1640,1101,1150
ADAMAOUA,TIGNERE,Wogoumdou,7167,292,273,297,1786,1215,249,942,451,428,287,300
CENTRE,BIYEM_ASSI,Akok-ndoe,27539,730,700,751,7533,3364,679,2664,1492,1246,1424,1400
CENTRE,BIYEM_ASSI,Biscuiterie,57470,1524,1460,1567,15721,7021,1417,5560,3113,2599,2972,2922
CENTRE,BIYEM_ASSI,Biyem Assi 1,39162,1039,995,1068,10713,4784,965,3789,2121,1771,2025,1991
CENTRE,BIYEM_ASSI,Biyem Assi 2,32624,865,829,889,8924,3985,804,3156,1767,1476,1687,1658
CENTRE,BIYEM_ASSI,Elig Effa,45440,1205,1155,1239,12430,5551,1120,4396,2461,2055,2350,2310
CENTRE,BIYEM_ASSI,Etoug Ebe,47136,1250,1198,1285,12894,5758,1162,4561,2553,2132,2437,2396
CENTRE,BIYEM_ASSI,Melen,27281,723,693,744,7462,3333,673,2639,1478,1234,1411,1387
CENTRE,BIYEM_ASSI,Mendong,31579,837,802,861,8638,3858,779,3055,1710,1428,1633,1605
CENTRE,BIYEM_ASSI,Mvog betsi,51709,1371,1314,1410,14145,6317,1275,5003,2801,2339,2674,2629
CENTRE,BIYEM_ASSI,Nkolbikok ,25261,670,642,689,6910,3086,623,2444,1368,1143,1306,1284
CENTRE,BIYEM_ASSI,Simbok,37069,983,942,1011,10140,4528,914,3587,2008,1677,1917,1884
CENTRE,CITE_VERTE,Briqueterie,57631,1528,1464,1571,15765,7040,1421,5576,3122,2607,2980,2930
CENTRE,CITE_VERTE,Carriere,114264,3030,2903,3115,31256,13959,2817,11055,6189,5168,5908,5809
CENTRE,CITE_VERTE,Cite verte,42345,1123,1076,1154,11583,5173,1044,4097,2294,1915,2190,2153
CENTRE,CITE_VERTE,Ekoudou (Cite Verte),20609,547,524,562,5638,2518,508,1994,1116,932,1066,1048
CENTRE,CITE_VERTE,Messa,51208,1358,1301,1396,14008,6256,1262,4955,2774,2316,2648,2603
CENTRE,CITE_VERTE,Mokolo,45748,1213,1162,1247,12514,5589,1128,4426,2478,2069,2366,2326
CENTRE,CITE_VERTE,Nkomkana,38547,1022,979,1051,10544,4709,950,3730,2088,1743,1993,1960
CENTRE,CITE_VERTE,Tsinga,40970,1087,1041,1117,11207,5005,1010,3964,2219,1853,2119,2083
CENTRE,CITE_VERTE,Tsinga oliga,60694,1610,1542,1655,16602,7414,1496,5872,3287,2745,3138,3085
CENTRE,DJOUNGOLO,Elig essono,25505,676,648,695,6977,3116,629,2468,1381,1154,1319,1297
CENTRE,DJOUNGOLO,Emana,97546,2587,2478,2659,26683,11916,2405,9438,5284,4412,5044,4959
CENTRE,DJOUNGOLO,Etoa  Meki,57298,1520,1456,1562,15674,7000,1413,5544,3104,2592,2963,2913
CENTRE,DJOUNGOLO,Mballa 2,80632,2138,2049,2198,22057,9850,1988,7801,4367,3647,4169,4099
CENTRE,DJOUNGOLO,Mballa 5,125319,3324,3184,3417,34280,15309,3089,12125,6788,5668,6480,6371
CENTRE,DJOUNGOLO,Nkolondom,101507,2692,2579,2767,27767,12400,2502,9821,5498,4591,5249,5160
CENTRE,DJOUNGOLO,Nlongkak,46185,1225,1173,1259,12634,5642,1139,4469,2502,2089,2388,2348
CENTRE,DJOUNGOLO,Tsinga village,41418,1098,1052,1129,11330,5060,1021,4007,2243,1873,2142,2106
CENTRE,EFOULAN,Afanoyoa,28615,759,727,780,7828,3496,705,2769,1550,1294,1480,1455
CENTRE,EFOULAN,Ahala 1,53868,1429,1369,1469,14735,6581,1328,5212,2918,2436,2785,2738
CENTRE,EFOULAN,Ahala 2,34404,912,874,938,9411,4203,848,3329,1863,1556,1779,1749
CENTRE,EFOULAN,Efoulan (Efoulan),83944,2226,2133,2289,22962,10255,2069,8122,4547,3797,4341,4267
CENTRE,EFOULAN,Ngoa ekelle,36785,976,935,1003,10062,4494,907,3559,1992,1664,1902,1870
CENTRE,EFOULAN,Nsimeyong 1,49113,1303,1248,1339,13435,6000,1211,4752,2660,2221,2540,2497
CENTRE,EFOULAN,Nsimeyong 2,61608,1634,1565,1680,16853,7526,1519,5961,3337,2787,3186,3132
CENTRE,EFOULAN,Nsimeyong 3,31967,848,812,872,8744,3905,788,3093,1732,1446,1653,1625
CENTRE,EFOULAN,Obili,99804,2647,2536,2721,27301,12192,2460,9656,5406,4514,5161,5074
CENTRE,MVOG-ADA,Nkolmesseng,94901,2517,2411,2587,25960,11593,2340,9182,5140,4292,4907,4824
CENTRE,MVOG-ADA,Nfandena,120850,3205,3071,3295,33058,14763,2979,11693,6546,5466,6249,6143
CENTRE,MVOG-ADA,Ngoulmekong,54902,1456,1395,1497,15018,6707,1353,5312,2974,2483,2839,2791
CENTRE,MVOG-ADA,Essos,84386,2238,2144,2301,23083,10309,2080,8165,4571,3817,4364,4290
CENTRE,MVOG-ADA,Mvog ada,56929,1510,1446,1552,15573,6955,1403,5508,3084,2575,2944,2894
CENTRE,NKOLBISSON,Ekorezock,26471,702,673,722,7241,3234,653,2561,1434,1197,1369,1346
CENTRE,NKOLBISSON,Etetak,15874,421,403,433,4342,1939,391,1536,860,718,821,807
CENTRE,NKOLBISSON,Nkolbisson,33395,886,848,910,9135,4080,823,3231,1809,1510,1727,1698
CENTRE,NKOLBISSON,Nkolnkoumou,15471,410,393,422,4232,1890,381,1497,838,700,800,786
CENTRE,NKOLBISSON,Nkolso'o,19670,522,500,536,5381,2403,485,1903,1065,890,1017,1000
CENTRE,NKOLBISSON,Nnom-nnam,39938,1059,1015,1089,10925,4879,985,3864,2163,1806,2065,2030
CENTRE,NKOLBISSON,Oyom Abang,41621,1104,1057,1135,11385,5084,1026,4027,2254,1883,2152,2116
CENTRE,NKOLNDONGO,Anguissa,42813,1135,1088,1167,11711,5230,1055,4142,2319,1936,2214,2176
CENTRE,NKOLNDONGO,Kondengui 1,44509,1180,1131,1213,12175,5437,1097,4306,2411,2013,2302,2263
CENTRE,NKOLNDONGO,Kondengui 2,41117,1090,1045,1121,11248,5023,1014,3978,2227,1860,2126,2090
CENTRE,NKOLNDONGO,Mimboman 1,77687,2060,1974,2118,21251,9490,1915,7516,4208,3514,4017,3949
CENTRE,NKOLNDONGO,Mimboman 2,86015,2281,2185,2345,23529,10508,2121,8322,4659,3890,4448,4373
CENTRE,NKOLNDONGO,Nkolndongo 1,49595,1315,1260,1352,13567,6059,1223,4799,2686,2243,2565,2521
CENTRE,NKOLNDONGO,Nkolndongo 2,40482,1074,1029,1104,11074,4945,998,3917,2193,1831,2093,2058
CENTRE,NKOLNDONGO,Eloundou,53712,1424,1365,1464,14693,6562,1324,5197,2909,2429,2777,2730
CENTRE,NKOLNDONGO,Emombo,53940,1431,1370,1471,14755,6589,1330,5219,2922,2440,2789,2742
CENTRE,NKOLNDONGO,Essomba,52563,1394,1335,1433,14378,6421,1296,5086,2847,2377,2718,2672
CENTRE,NKOLNDONGO,Nkolo,57361,1521,1457,1564,15691,7007,1414,5550,3107,2594,2966,2916
CENTRE,ODZA,Awae,66048,1752,1678,1801,18067,8068,1628,6390,3577,2987,3415,3358
CENTRE,ODZA,Ekounou 1,68035,1804,1729,1855,18611,8311,1677,6583,3685,3077,3518,3459
CENTRE,ODZA,Ekounou 2,70472,1869,1791,1921,19277,8609,1737,6818,3817,3187,3644,3582
CENTRE,ODZA,Nkomo,72485,1922,1842,1976,19828,8855,1787,7013,3926,3279,3748,3685
CENTRE,ODZA,Messamendongo,42389,1124,1077,1156,11595,5178,1045,4101,2296,1917,2192,2155
CENTRE,ODZA,Meyo,13065,347,332,356,3574,1596,322,1264,708,591,676,664
CENTRE,ODZA,Minkan,18227,483,463,497,4986,2227,449,1764,987,824,943,927
CENTRE,ODZA,Mvan,45568,1209,1158,1242,12465,5567,1123,4409,2468,2061,2356,2316
CENTRE,ODZA,Odza,46496,1233,1181,1268,12719,5680,1146,4499,2518,2103,2404,2364
CENTRE,AKONOLINGA,Abem,10100,360,340,369,2273,1552,316,1213,646,530,609,614
CENTRE,AKONOLINGA,Akak,1852,66,62,68,417,285,58,222,118,97,112,113
CENTRE,AKONOLINGA,Akonolinga Urbain,27756,991,934,1015,6247,4266,867,3332,1774,1458,1674,1687
CENTRE,AKONOLINGA,Djoudjoua,2518,90,85,92,567,387,79,302,161,132,152,153
CENTRE,AKONOLINGA,Edjom,7794,278,262,285,1754,1198,244,936,498,409,470,474
CENTRE,AKONOLINGA,Ekoudou (Akonolinga),8268,295,278,302,1861,1271,258,993,529,434,499,503
CENTRE,AKONOLINGA,Endom,6736,240,227,246,1516,1035,211,809,431,354,406,409
CENTRE,AKONOLINGA,Envane Sso,7128,254,240,261,1604,1095,223,856,456,374,430,433
CENTRE,AKONOLINGA,Mengang,6431,230,216,235,1447,988,201,772,411,338,388,391
CENTRE,AKONOLINGA,Mengueme Si,4186,149,141,153,942,643,131,502,268,220,252,254
CENTRE,AKONOLINGA,Yeme Yeme,6139,219,206,225,1382,944,192,737,392,322,370,373
CENTRE,AKONOLINGA,Zalom,3103,111,104,114,699,477,97,373,198,163,187,189
CENTRE,AWAE,Elat Minkom,6983,249,235,255,1572,1073,218,838,446,367,421,424
CENTRE,AWAE,Mimbang,8078,288,272,295,1818,1241,252,970,516,424,487,491
CENTRE,AWAE,Ngat,6429,229,216,235,1447,988,201,772,411,338,388,391
CENTRE,AWAE,Nkolessong,2343,84,79,86,527,360,73,281,150,123,141,142
CENTRE,AWAE,Olanguina,6000,214,202,219,1350,922,188,720,384,315,362,365
CENTRE,AYOS,Ayos Urbain,20034,715,674,733,4509,3079,626,2405,1281,1052,1208,1218
CENTRE,AYOS,Efoufoup,2833,101,95,104,638,435,89,340,181,149,171,172
CENTRE,AYOS,Kobdombo,4222,151,142,154,950,649,132,507,270,222,255,257
CENTRE,AYOS,Mang,1675,60,56,61,377,257,52,201,107,88,101,102
CENTRE,AYOS,Mbaka (Ayos),2914,104,98,107,656,448,91,350,186,153,176,177
CENTRE,AYOS,Mboke,1449,52,49,53,326,223,45,174,93,76,87,88
CENTRE,AYOS,Nganga,1763,63,59,64,397,271,55,212,113,93,106,107
CENTRE,AYOS,Nkoambang,3561,127,120,130,802,547,111,428,228,187,215,216
CENTRE,AYOS,Nyamvoudou,2660,95,89,97,599,409,83,319,170,140,160,162
CENTRE,AYOS,Salla,1666,59,56,61,375,256,52,200,107,88,100,101
CENTRE,AYOS,Yenassa,2083,74,70,76,469,320,65,250,133,109,126,127
CENTRE,BAFIA,Assala,8526,304,287,312,1919,1310,266,1024,545,448,514,518
CENTRE,BAFIA,Bafia 1,37030,1321,1246,1355,8334,5691,1157,4446,2367,1945,2233,2251
CENTRE,BAFIA,Bafia 2,9380,335,315,343,2111,1442,293,1126,600,493,566,570
CENTRE,BAFIA,Bafia rural,12564,448,423,460,2828,1931,393,1508,803,660,758,764
CENTRE,BAFIA,Balamba,12179,435,410,445,2741,1872,381,1462,779,640,734,740
CENTRE,BAFIA,Baliama,6621,236,223,242,1490,1018,207,795,423,348,399,402
CENTRE,BAFIA,Bayomen,6294,225,212,230,1417,967,197,756,402,331,380,383
CENTRE,BAFIA,Bokito,14130,504,475,517,3180,2172,442,1696,903,742,852,859
CENTRE,BAFIA,Bongo,3127,112,105,114,704,481,98,375,200,164,189,190
CENTRE,BAFIA,Deuk,12467,445,419,456,2806,1916,390,1497,797,655,752,758
CENTRE,BAFIA,Donenkeng,3297,118,111,121,742,507,103,396,211,173,199,200
CENTRE,BAFIA,Gbwah,2717,97,91,99,611,417,85,326,174,143,164,165
CENTRE,BAFIA,Goufan,7228,258,243,264,1627,1111,226,868,462,380,436,439
CENTRE,BAFIA,Kiki,3176,113,107,116,715,488,99,381,203,167,192,193
CENTRE,BAFIA,Mouko,3918,140,132,143,882,602,122,470,250,206,236,238
CENTRE,BAFIA,Ombessa,15684,560,528,574,3530,2410,490,1883,1003,824,946,953
CENTRE,BAFIA,Roum,4542,162,153,166,1022,698,142,545,290,239,274,276
CENTRE,BAFIA,Tsekane,7363,263,248,269,1657,1132,230,884,471,387,444,448
CENTRE,BAFIA,Yangben,7688,274,259,281,1730,1182,240,923,492,404,464,467
CENTRE,EBEBDA,Djounyat,9576,342,322,350,2155,1472,299,1150,612,503,577,582
CENTRE,EBEBDA,Leka,4691,167,158,172,1056,721,147,563,300,246,283,285
CENTRE,EBEBDA,Ngoksa,7138,255,240,261,1606,1097,223,857,456,375,430,434
CENTRE,EBEBDA,Nkolelouga,2198,78,74,80,495,338,69,264,141,115,133,134
CENTRE,ELIG_MFOMO,Elig - Mfomo,7867,281,265,288,1771,1209,246,944,503,413,474,478
CENTRE,ELIG_MFOMO,Kokodo,3614,129,122,132,813,555,113,434,231,190,218,220
CENTRE,ELIG_MFOMO,Nkengue,6420,229,216,235,1445,987,201,771,410,337,387,390
CENTRE,ESEKA,Bidjocka,5040,180,170,184,1134,775,158,605,322,265,304,306
CENTRE,ESEKA,Bondjock,5196,185,175,190,1169,799,162,624,332,273,313,316
CENTRE,ESEKA,Eseka,26395,942,888,966,5941,4057,825,3169,1687,1386,1592,1604
CENTRE,ESEKA,Likongue,3939,141,132,144,887,605,123,473,252,207,238,239
CENTRE,ESEKA,Langa,3271,117,110,120,736,503,102,393,209,172,197,199
CENTRE,ESEKA,Makak,18657,666,628,682,4199,2867,583,2240,1193,980,1125,1134
CENTRE,ESEKA,Messondo,4837,173,163,177,1089,743,151,581,309,254,292,294
CENTRE,ESEKA,Mom,11385,406,383,416,2562,1750,356,1367,728,598,686,692
CENTRE,ESEKA,Song-badjeck,3023,108,102,111,680,465,94,363,193,159,182,184
CENTRE,ESEKA,Song bayang,3010,107,101,110,677,463,94,361,192,158,181,183
CENTRE,ESEKA,Songmbong,3686,132,124,135,830,566,115,443,236,194,222,224
CENTRE,ESSE,Afanloum,1744,62,59,64,393,268,55,209,112,92,105,106
CENTRE,ESSE,Edzendouan,7404,264,249,271,1666,1138,231,889,473,389,446,450
CENTRE,ESSE,Esse ville,8065,288,271,295,1815,1239,252,968,516,424,486,490
CENTRE,ESSE,Mveng Essaboutou,3194,114,107,117,719,491,100,383,204,168,193,194
CENTRE,ESSE,Ngondi Mbele,3830,137,129,140,862,589,120,460,245,201,231,233
CENTRE,ESSE,Ngoungoumou,1941,69,65,71,437,298,61,233,124,102,117,118
CENTRE,ESSE,Ongandi,2128,76,72,78,479,327,67,255,136,112,128,129
CENTRE,EVODOULA,Evodoula,9046,323,304,331,2036,1390,283,1086,578,475,545,550
CENTRE,EVODOULA,Kalngaha,5329,190,179,195,1199,819,167,640,341,280,321,324
CENTRE,EVODOULA,Nkolassa,3892,139,131,142,876,598,122,467,249,204,235,237
CENTRE,EVODOULA,Nloudou,3901,139,131,143,878,599,122,468,249,205,235,237
CENTRE,MBALMAYO,Akoeman,3533,126,119,129,795,543,110,424,226,186,213,215
CENTRE,MBALMAYO,Angonfeme,1782,64,60,65,401,274,56,214,114,94,107,108
CENTRE,MBALMAYO,Assie,2829,101,95,103,637,435,88,340,181,149,171,172
CENTRE,MBALMAYO,Ekoumeyek,2605,93,88,95,586,400,81,313,167,137,157,158
CENTRE,MBALMAYO,Mbalmayo 1,26492,945,891,969,5963,4072,828,3180,1694,1391,1597,1610
CENTRE,MBALMAYO,Mbalmayo 2,30840,1101,1037,1128,6941,4740,964,3702,1972,1620,1860,1875
CENTRE,MBALMAYO,Mengueme,8387,299,282,307,1888,1289,262,1007,536,440,506,510
CENTRE,MBALMAYO,Metet,14369,513,483,526,3234,2208,449,1725,919,755,866,873
CENTRE,MBALMAYO,Minlaba,2157,77,73,79,486,332,67,259,138,113,130,131
CENTRE,MBALMAYO,Ngallan,7689,274,259,281,1731,1182,240,923,492,404,464,467
CENTRE,MBALMAYO,Ngomedzap,9060,323,305,331,2039,1392,283,1088,579,476,546,551
CENTRE,MBALMAYO,Nkolmeyang,3246,116,109,119,731,499,101,390,208,170,196,197
CENTRE,MBALMAYO,Nkolnyama,2749,98,92,101,619,423,86,330,176,144,166,167
CENTRE,MBALMAYO,Nkolya,5010,179,169,183,1128,770,157,601,320,263,302,305
CENTRE,MBALMAYO,Olama,3191,114,107,117,718,490,100,383,204,168,192,194
CENTRE,MBALMAYO,Onambessa,866,31,29,32,195,133,27,104,55,45,52,53
CENTRE,MBALMAYO,Ossoessam,3275,117,110,120,737,503,102,393,209,172,197,199
CENTRE,MBALMAYO,Sep,2717,97,91,99,611,417,85,326,174,143,164,165
CENTRE,MBALMAYO,Zoatoupsi,1687,60,57,62,380,259,53,203,108,89,102,103
CENTRE,MBANDJOCK,Edoumdane,624,22,21,23,140,96,20,75,40,33,38,38
CENTRE,MBANDJOCK,Lembe yezoum,2571,92,86,94,579,395,80,309,164,135,155,156
CENTRE,MBANDJOCK,Mbandjock,25454,908,856,931,5729,3912,796,3056,1627,1337,1535,1547
CENTRE,MBANDJOCK,Mebolo,1680,60,57,61,378,258,53,202,107,88,101,102
CENTRE,MBANDJOCK,Mvebekon,836,30,28,31,188,129,26,100,53,44,50,51
CENTRE,MBANDJOCK,Ndjore,4577,163,154,167,1030,703,143,549,293,240,276,278
CENTRE,MBANDJOCK,Ndoumba,2013,72,68,74,453,309,63,242,129,106,121,122
CENTRE,MBANDJOCK,Nkoteng 1,12145,433,409,444,2734,1867,380,1458,776,638,732,738
CENTRE,MBANDJOCK,Nkoteng 2,10490,374,353,384,2361,1612,328,1259,671,551,633,638
CENTRE,MBANDJOCK,Nyassi,2391,85,80,87,538,367,75,287,153,126,144,145
CENTRE,MBANDJOCK,Zoa,1704,61,57,62,383,262,53,205,109,89,103,104
CENTRE,MBANKOMO,Binguela,4407,157,148,161,992,677,138,529,282,231,266,268
CENTRE,MBANKOMO,Ebeba,2987,107,100,109,672,459,93,359,191,157,180,182
CENTRE,MBANKOMO,Mbankomo,20171,720,678,738,4540,3100,630,2422,1290,1059,1216,1226
CENTRE,MBANKOMO,Mefomo,4213,150,142,154,948,648,132,506,269,221,254,256
CENTRE,MBANKOMO,Ntouessong (Mbankomo),2333,83,78,85,525,359,73,280,149,123,141,142
CENTRE,MFOU,Atega,2706,97,91,99,609,416,85,325,173,142,163,164
CENTRE,MFOU,Dzeng (Mfou),3662,131,123,134,824,563,114,440,234,192,221,223
CENTRE,MFOU,Essazok,8109,289,273,297,1825,1246,253,973,518,426,489,493
CENTRE,MFOU,Komassi,3113,111,105,114,701,478,97,374,199,163,188,189
CENTRE,MFOU,Meven,4158,148,140,152,936,639,130,499,266,218,251,253
CENTRE,MFOU,Mfou,13143,469,442,481,2958,2020,411,1578,840,690,792,799
