ADM1_FR,Avg_HH_size
Adamaoua,8.53
Centre,7.87
Est,8.18
Extrême-Nord,8.11
Littoral,5.97
Nord,9.25
Nord-Ouest,5.75
Sud,7.72
Sud-Ouest,9.57
Ouest,4.92
