ADM1_FR,Physical exposure to flood,Droughts probability and historical impact,Average
Adamaoua,5.1,2.6,3.85
Centre,3.7,3.4,3.55
Est,5.5,3.1,4.30
Extrême-Nord,7.7,3.4,5.55
Littoral,6.1,3.7,4.90
Nord,8.4,2.7,5.55
Nord-Ouest,2.4,2.6,2.50
Ouest,3,2.6,2.80
Sud,4.8,3.5,4.15
Sud-Ouest,4.5,3.4,3.95
