ADM1_FR,FOSA/1000_hab.
Adamaoua,0.13
Centre,0.33
Est,0.2
Extrême-Nord,0.09
Littoral,0.24
Nord,0.1
Nord-Ouest,0.22
Sud,0.31
Sud-Ouest,0.16
Ouest,0.37
