ADM1_FR,Insufficient_WASH
Adamaoua,22.28
Centre,22.02
Est,25.52
Extrême-Nord,20.9
Littoral,13.76
Nord,24.16
Nord-Ouest,18.54
Ouest,15.94
Sud,18.42
Sud-Ouest,9.42
