start_date,ADM1_FR,cases,deaths
29-10-2021,Adamaoua,0,0
29-10-2021,Centre,32,1
29-10-2021,Est,0,0
29-10-2021,Extrême-Nord,0,0
29-10-2021,Littoral,0,0
29-10-2021,Nord,0,0
29-10-2021,Nord-Ouest,0,0
29-10-2021,Ouest,0,0
29-10-2021,Sud,0,0
29-10-2021,Sud-Ouest,23,3
02-11-2021,Adamaoua,0,0
02-11-2021,Centre,15,0
02-11-2021,Est,0,0
02-11-2021,Extrême-Nord,0,0
02-11-2021,Littoral,0,0
02-11-2021,Nord,0,0
02-11-2021,Nord-Ouest,0,0
02-11-2021,Ouest,0,0
02-11-2021,Sud,0,0
02-11-2021,Sud-Ouest,23,3
12-11-2021,Adamaoua,0,0
12-11-2021,Centre,0,0
12-11-2021,Est,0,0
12-11-2021,Extrême-Nord,0,0
12-11-2021,Littoral,18,0
12-11-2021,Nord,0,0
12-11-2021,Nord-Ouest,0,0
12-11-2021,Ouest,0,0
12-11-2021,Sud,12,0
12-11-2021,Sud-Ouest,337,9
28-12-2021,Adamaoua,0,0
28-12-2021,Centre,0,0
28-12-2021,Est,0,0
28-12-2021,Extrême-Nord,0,0
28-12-2021,Littoral,11,0
28-12-2021,Nord,0,0
28-12-2021,Nord-Ouest,0,0
28-12-2021,Ouest,0,0
28-12-2021,Sud,8,1
28-12-2021,Sud-Ouest,99,2
17-01-2022,Adamaoua,0,0
17-01-2022,Centre,0,0
17-01-2022,Est,0,0
17-01-2022,Extrême-Nord,1,0
17-01-2022,Littoral,6,0
17-01-2022,Nord,0,0
17-01-2022,Nord-Ouest,0,0
17-01-2022,Ouest,0,0
17-01-2022,Sud,6,0
17-01-2022,Sud-Ouest,175,4
14-02-2022,Adamaoua,0,0
14-02-2022,Centre,0,0
14-02-2022,Est,0,0
14-02-2022,Extrême-Nord,0,0
14-02-2022,Littoral,39,3
14-02-2022,Nord,2,0
14-02-2022,Nord-Ouest,0,0
14-02-2022,Ouest,0,0
14-02-2022,Sud,120,0
14-02-2022,Sud-Ouest,87,3
04-03-2022,Adamaoua,0,0
04-03-2022,Centre,6,0
04-03-2022,Est,0,0
04-03-2022,Extrême-Nord,0,0
04-03-2022,Littoral,10,2
04-03-2022,Nord,0,0
04-03-2022,Nord-Ouest,0,0
04-03-2022,Ouest,0,0
04-03-2022,Sud,0,0
04-03-2022,Sud-Ouest,38,0
11-03-2022,Adamaoua,0,0
11-03-2022,Centre,10,1
11-03-2022,Est,0,0
11-03-2022,Extrême-Nord,0,0
11-03-2022,Littoral,106,2
11-03-2022,Nord,3,0
11-03-2022,Nord-Ouest,0,0
11-03-2022,Ouest,0,0
11-03-2022,Sud,0,0
11-03-2022,Sud-Ouest,110,3
21-03-2022,Adamaoua,0,0
21-03-2022,Centre,3,0
21-03-2022,Est,0,0
21-03-2022,Extrême-Nord,0,0
21-03-2022,Littoral,76,6
21-03-2022,Nord,0,0
21-03-2022,Nord-Ouest,0,0
21-03-2022,Ouest,0,0
21-03-2022,Sud,5,0
21-03-2022,Sud-Ouest,670,6
28-03-2022,Adamaoua,0,0
28-03-2022,Centre,2,0
28-03-2022,Est,0,0
28-03-2022,Extrême-Nord,0,0
28-03-2022,Littoral,143,2
28-03-2022,Nord,0,0
28-03-2022,Nord-Ouest,0,0
28-03-2022,Ouest,0,0
28-03-2022,Sud,1,0
28-03-2022,Sud-Ouest,598,6
04-04-2022,Adamaoua,0,0
04-04-2022,Centre,3,0
04-04-2022,Est,0,0
04-04-2022,Extrême-Nord,0,0
04-04-2022,Littoral,257,4
04-04-2022,Nord,6,0
04-04-2022,Nord-Ouest,0,0
04-04-2022,Ouest,0,0
04-04-2022,Sud,1,0
04-04-2022,Sud-Ouest,312,1
14-04-2022,Adamaoua,0,0
14-04-2022,Centre,27,0
14-04-2022,Est,0,0
14-04-2022,Extrême-Nord,0,0
14-04-2022,Littoral,302,9
14-04-2022,Nord,0,0
14-04-2022,Nord-Ouest,0,0
14-04-2022,Ouest,0,0
14-04-2022,Sud,0,0
14-04-2022,Sud-Ouest,414,0
01-05-2022,Adamaoua,0,0
01-05-2022,Centre,0,0
01-05-2022,Est,0,0
01-05-2022,Extrême-Nord,0,0
01-05-2022,Littoral,159,1
01-05-2022,Nord,2,0
01-05-2022,Nord-Ouest,0,0
01-05-2022,Ouest,0,0
01-05-2022,Sud,0,0
01-05-2022,Sud-Ouest,260,3
14-05-2022,Adamaoua,0,0
14-05-2022,Centre,1,0
14-05-2022,Est,0,0
14-05-2022,Extrême-Nord,0,0
14-05-2022,Littoral,69,3
14-05-2022,Nord,0,0
14-05-2022,Nord-Ouest,0,0
14-05-2022,Ouest,4,0
14-05-2022,Sud,0,0
14-05-2022,Sud-Ouest,218,3
23-05-2022,Adamaoua,0,0
23-05-2022,Centre,36,0
23-05-2022,Est,0,0
23-05-2022,Extrême-Nord,0,0
23-05-2022,Littoral,134,4
23-05-2022,Nord,0,0
23-05-2022,Nord-Ouest,0,0
23-05-2022,Ouest,23,2
23-05-2022,Sud,0,0
23-05-2022,Sud-Ouest,439,4
07-06-2022,Adamaoua,0,0
07-06-2022,Centre,5,0
07-06-2022,Est,0,0
07-06-2022,Extrême-Nord,0,0
07-06-2022,Littoral,112,5
07-06-2022,Nord,1,0
07-06-2022,Nord-Ouest,0,0
07-06-2022,Ouest,24,2
07-06-2022,Sud,0,0
07-06-2022,Sud-Ouest,115,2
05-07-2022,Adamaoua,0,0
05-07-2022,Centre,18,0
05-07-2022,Est,3,1
05-07-2022,Extrême-Nord,0,0
05-07-2022,Littoral,181,3
05-07-2022,Nord,0,0
05-07-2022,Nord-Ouest,0,0
05-07-2022,Ouest,15,1
05-07-2022,Sud,0,0
05-07-2022,Sud-Ouest,6,0
18-07-2022,Adamaoua,0,0
18-07-2022,Centre,18,0
18-07-2022,Est,1,0
18-07-2022,Extrême-Nord,0,0
18-07-2022,Littoral,129,5
18-07-2022,Nord,0,0
18-07-2022,Nord-Ouest,0,0
18-07-2022,Ouest,10,1
