start_date,ADM1_FR,cases,deaths
18-07-2022,Sud,0,0
18-07-2022,Sud-Ouest,1,0
29-07-2022,Adamaoua,0,0
29-07-2022,Centre,45,0
29-07-2022,Est,0,0
29-07-2022,Extrême-Nord,0,0
29-07-2022,Littoral,239,5
29-07-2022,Nord,0,0
29-07-2022,Nord-Ouest,0,0
29-07-2022,Ouest,11,0
29-07-2022,Sud,0,0
29-07-2022,Sud-Ouest,0,0
01-10-2022,Adamaoua,0,0
01-10-2022,Centre,16,1
01-10-2022,Est,0,0
01-10-2022,Extrême-Nord,147,11
01-10-2022,Littoral,405,8
01-10-2022,Nord,0,0
01-10-2022,Nord-Ouest,0,0
01-10-2022,Ouest,8,0
01-10-2022,Sud,0,0
01-10-2022,Sud-Ouest,0,0
13-12-2022,Adamaoua,0,0
13-12-2022,Centre,36,1
13-12-2022,Est,0,0
13-12-2022,Extrême-Nord,1,0
13-12-2022,Littoral,20,0
13-12-2022,Nord,0,0
13-12-2022,Nord-Ouest,0,0
13-12-2022,Ouest,0,0
13-12-2022,Sud,0,0
13-12-2022,Sud-Ouest,0,0
04-01-2023,Adamaoua,0,0
04-01-2023,Centre,35,3
04-01-2023,Est,0,0
04-01-2023,Extrême-Nord,0,0
04-01-2023,Littoral,56,0
04-01-2023,Nord,0,0
04-01-2023,Nord-Ouest,0,0
04-01-2023,Ouest,0,0
04-01-2023,Sud,0,0
04-01-2023,Sud-Ouest,0,0
27-03-2023,Adamaoua,0,0
27-03-2023,Centre,42,1
27-03-2023,Est,0,0
27-03-2023,Extrême-Nord,0,0
27-03-2023,Littoral,18,0
27-03-2023,Nord,0,0
27-03-2023,Nord-Ouest,0,0
27-03-2023,Ouest,0,0
27-03-2023,Sud,0,0
27-03-2023,Sud-Ouest,0,0
01-05-2023,Adamaoua,0,0
01-05-2023,Centre,354,21
01-05-2023,Est,0,0
01-05-2023,Extrême-Nord,0,0
01-05-2023,Littoral,2,0
01-05-2023,Nord,0,0
01-05-2023,Nord-Ouest,0,0
01-05-2023,Ouest,0,0
01-05-2023,Sud,0,0
01-05-2023,Sud-Ouest,0,0
07-05-2023,Adamaoua,0,0
07-05-2023,Centre,501,14
07-05-2023,Est,7,3
07-05-2023,Extrême-Nord,0,0
07-05-2023,Littoral,3,0
07-05-2023,Nord,0,0
07-05-2023,Nord-Ouest,0,0
07-05-2023,Ouest,1,0
07-05-2023,Sud,0,0
07-05-2023,Sud-Ouest,0,0
16-05-2023,Adamaoua,0,0
16-05-2023,Centre,1027,26
16-05-2023,Est,0,0
16-05-2023,Extrême-Nord,0,0
16-05-2023,Littoral,23,0
16-05-2023,Nord,0,0
16-05-2023,Nord-Ouest,0,0
16-05-2023,Ouest,0,0
16-05-2023,Sud,20,0
16-05-2023,Sud-Ouest,0,0
31-05-2023,Adamaoua,0,0
31-05-2023,Centre,619,17
31-05-2023,Est,0,0
31-05-2023,Extrême-Nord,0,0
31-05-2023,Littoral,29,0
31-05-2023,Nord,0,0
31-05-2023,Nord-Ouest,0,0
31-05-2023,Ouest,0,0
31-05-2023,Sud,5,1
31-05-2023,Sud-Ouest,0,0
13-06-2023,Adamaoua,0,0
13-06-2023,Centre,364,8
13-06-2023,Est,0,0
13-06-2023,Extrême-Nord,0,0
13-06-2023,Littoral,20,1
13-06-2023,Nord,0,0
13-06-2023,Nord-Ouest,0,0
13-06-2023,Ouest,0,0
13-06-2023,Sud,14,2
13-06-2023,Sud-Ouest,0,0
09-07-2023,Adamaoua,0,0
09-07-2023,Centre,59,1
09-07-2023,Est,0,0
09-07-2023,Extrême-Nord,0,0
09-07-2023,Littoral,23,0
09-07-2023,Nord,0,0
09-07-2023,Nord-Ouest,0,0
09-07-2023,Ouest,0,0
09-07-2023,Sud,1,0
09-07-2023,Sud-Ouest,0,0
16-07-2023,Adamaoua,0,0
16-07-2023,Centre,61,1
16-07-2023,Est,0,0
16-07-2023,Extrême-Nord,0,0
16-07-2023,Littoral,23,0
16-07-2023,Nord,0,0
16-07-2023,Nord-Ouest,0,0
16-07-2023,Ouest,0,0
16-07-2023,Sud,1,0
16-07-2023,Sud-Ouest,0,0
