admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,REMARK,F_00_04,M_00_04,F_05_19,M_05_19,F_adulte,M_adulte,F_agee,M_agee,T_00_04,T_05_19,T_adulte,T_agee,F_TL,M_TL,T_TL,Notes
Kinshasa,CD1000,Kinshasa,CD10,République démocratique du Congo (la),,1035155,1041110,1927889,1949724,1929874,1916476,68481,54586,2076265,3877613,3846350,123067,5220436,4704348,9924784,
Matadi,CD2001,Kongo-Central,CD20,République démocratique du Congo (la),,35432,34990,70303,69317,60340,65118,4097,5900,70422,139620,125458,9997,176141,163899,340040,
Boma,CD2002,Kongo-Central,CD20,République démocratique du Congo (la),,18580,18348,36865,36348,31641,34146,2149,3094,36928,73213,65787,5243,92363,85944,178307,
Moanda,CD2003,Kongo-Central,CD20,République démocratique du Congo (la),,37091,36628,73595,72562,63165,68166,4289,6176,73719,146157,131331,10465,184387,171573,355960,
Lukula,CD2005,Kongo-Central,CD20,République démocratique du Congo (la),,35521,35078,70480,69491,60492,65281,4108,5915,70599,139971,125773,10023,176583,164311,340894,
Tshela,CD2007,Kongo-Central,CD20,République démocratique du Congo (la),,45011,44449,89309,88056,76653,82722,5205,7495,89460,177365,159375,12700,223759,208208,431967,
Seke-Banza,CD2009,Kongo-Central,CD20,République démocratique du Congo (la),,26671,26339,52921,52178,45421,49017,3084,4441,53010,105099,94438,7525,132589,123375,255964,
Luozi,CD2010,Kongo-Central,CD20,République démocratique du Congo (la),,27739,27393,55039,54267,47239,50979,3208,4619,55132,109306,98218,7827,137896,128312,266208,
Songololo,CD2011,Kongo-Central,CD20,République démocratique du Congo (la),,35985,35536,71399,70398,61281,66133,4161,5992,71521,141797,127414,10153,178887,166455,307476,"Formerly 345342. Manually edited, based on Meta population TIFF."
Bangu,CD2012,Kongo-Central,CD20,République démocratique du Congo (la),Population is reflected in CD2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37866,"Formerly 0. Manually edited, based on Meta population TIFF"
Mbanza-Ngungu,CD2013,Kongo-Central,CD20,République démocratique du Congo (la),,75712,74768,150226,148118,128936,139145,8756,12607,150480,298344,268081,21363,376381,350224,726605,
Kasangulu,CD2015,Kongo-Central,CD20,République démocratique du Congo (la),,26165,25839,51916,51188,44559,48087,3026,4357,52004,103104,92646,7383,130073,121033,251106,
Madimba,CD2017,Kongo-Central,CD20,République démocratique du Congo (la),,45864,45292,91003,89726,78106,84290,5304,7637,91156,180729,162396,12941,228002,212156,403281,"Formerly 440158. Manually edited, based on Meta population TIFF"
Inkisi,CD2018,Kongo-Central,CD20,République démocratique du Congo (la),Population is reflected in CD2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36877,"Formerly 0. Manually edited, based on Meta population TIFF"
Kimvula,CD2019,Kongo-Central,CD20,République démocratique du Congo (la),,9023,8911,17904,17653,15366,16583,1043,1502,17934,35557,31949,2545,44857,41739,86596,
Kenge,CD3102,Kwango,CD31,République démocratique du Congo (la),,67082,71214,135446,143105,142143,132916,11649,8942,138296,278551,275059,20591,364086,348411,712497,
Feshi,CD3103,Kwango,CD31,République démocratique du Congo (la),,36397,38639,73489,77645,77123,72117,6321,4852,75036,151134,149240,11173,197543,189038,386581,
Kahemba,CD3105,Kwango,CD31,République démocratique du Congo (la),,40559,43058,81894,86525,85943,80365,7043,5406,83617,168419,166308,12449,220136,210658,430794,
Kasongo-Lunda,CD3107,Kwango,CD31,République démocratique du Congo (la),,73406,77928,148215,156596,155543,145447,12748,9785,151334,304811,300990,22533,398409,381257,779666,
Popokabaka,CD3108,Kwango,CD31,République démocratique du Congo (la),,18622,19770,37601,39727,39460,36898,3234,2482,38392,77328,76358,5716,101073,96721,197794,
