admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,REMARK,F_00_04,M_00_04,F_05_19,M_05_19,F_adulte,M_adulte,F_agee,M_agee,T_00_04,T_05_19,T_adulte,T_agee,F_TL,M_TL,T_TL,Notes
Bandundu,CD3201,Kwilu,CD32,République démocratique du Congo (la),,19107,20284,38580,40761,40487,37859,3318,2547,39391,79341,78346,5865,104719,98225,202944,
Bagata,CD3202,Kwilu,CD32,République démocratique du Congo (la),,47878,50828,96672,102139,101452,94867,8314,6382,98706,198811,196319,14696,262403,246129,508532,
Kikwit,CD3203,Kwilu,CD32,République démocratique du Congo (la),,47662,50598,96235,101677,100994,94438,8277,6353,98260,197912,195432,14630,261217,245018,506235,
Bulungu,CD3204,Kwilu,CD32,République démocratique du Congo (la),,116670,123857,235570,248891,247218,231171,20261,15552,240527,484461,478389,35813,639422,599768,1239190,
Idiofa,CD3206,Kwilu,CD32,République démocratique du Congo (la),,119843,127226,241978,255661,253943,237459,20812,15975,247069,497639,491402,36787,656815,616082,1228548,"Formerly 1272897. Manually edited, based on Meta population TIFF"
Mangai,CD3208,Kwilu,CD32,République démocratique du Congo (la),Population is reflected in CD3206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3835,"Formerly 0. Manually edited, based on Meta population TIFF"
Dibaya-Lubwe,CD3209,Kwilu,CD32,République démocratique du Congo (la),Population is reflected in CD3206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40514,"Formerly 0. Manually edited, based on Meta population TIFF"
Gungu,CD3210,Kwilu,CD32,République démocratique du Congo (la),,51490,54662,103965,109844,109106,102024,8942,6864,106152,213809,211130,15806,282199,264698,546897,
Masi-Manimba,CD3212,Kwilu,CD32,République démocratique du Congo (la),,69810,74111,140955,148926,147925,138323,12123,9306,143921,289881,286248,21429,382604,358876,741480,
Inongo,CD3302,Maï-Ndombe,CD33,République démocratique du Congo (la),,38418,40785,77571,81958,81407,76123,6672,5121,79203,159529,157530,11793,191378,216677,408055,
Kiri,CD3303,Maï-Ndombe,CD33,République démocratique du Congo (la),,19169,20350,38705,40893,40618,37982,3329,2555,39519,79598,78600,5884,95489,108112,203601,
Oshwe,CD3304,Maï-Ndombe,CD33,République démocratique du Congo (la),,33828,35912,68303,72166,71681,67028,5875,4509,69740,140469,138709,10384,168513,190789,359302,
Nioki,CD3305,Maï-Ndombe,CD33,République démocratique du Congo (la),Population is reflected in CD3306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19944,"Formerly 0. Manually edited, based on Meta population TIFF"
Kutu,CD3306,Maï-Ndombe,CD33,République démocratique du Congo (la),,38389,40754,77513,81896,81346,76065,6667,5117,79143,159409,157411,11784,191233,216514,387803,"Formerly 407747. Manually edited, based on Meta population TIFF"
Kwamouth,CD3307,Maï-Ndombe,CD33,République démocratique du Congo (la),,12706,13489,25655,27105,26923,25175,2206,1694,26195,52760,52098,3900,63293,71660,134953,
Bolobo,CD3308,Maï-Ndombe,CD33,République démocratique du Congo (la),,14105,14974,28480,30091,29888,27948,2450,1880,29079,58571,57836,4330,70264,79553,149817,
Yumbi,CD3310,Maï-Ndombe,CD33,République démocratique du Congo (la),,12173,12923,24578,25968,25793,24119,2114,1623,25096,50546,49912,3737,60637,68653,129290,
Mushie,CD3311,Maï-Ndombe,CD33,République démocratique du Congo (la),,12555,13328,25349,26783,26603,24876,2180,1673,25883,52132,51479,3853,62539,70807,133346,
Mbandaka,CD4101,Equateur,CD41,République démocratique du Congo (la),,36356,37805,76427,78958,83164,81286,8227,5879,74161,155385,164450,14106,204133,204133,408266,
Bikoro,CD4102,Equateur,CD41,République démocratique du Congo (la),,30841,32070,64834,66981,70548,68955,6979,4987,62911,131815,139503,11966,173167,173167,346334,
Lukolela,CD4103,Equateur,CD41,République démocratique du Congo (la),,17163,17847,36080,37275,39261,38374,3884,2775,35010,73355,77635,6659,96369,96369,192738,
Bomongo,CD4104,Equateur,CD41,République démocratique du Congo (la),,18430,19165,38744,40027,42159,41207,4170,2980,37595,78771,83366,7150,103484,103484,206968,
Makanza,CD4105,Equateur,CD41,République démocratique du Congo (la),,11722,12189,24642,25458,26814,26208,2652,1896,23911,50100,53022,4548,65817,65817,131634,
Basankusu,CD4107,Equateur,CD41,République démocratique du Congo (la),,35690,37113,75027,77512,81640,79796,8076,5771,72803,152539,161436,13847,200393,200393,400786,
Bolomba,CD4108,Equateur,CD41,République démocratique du Congo (la),,43045,44761,90489,93485,98464,96241,9740,6961,87806,183974,194705,16701,241690,241690,483380,
Ingende,CD4109,Equateur,CD41,République démocratique du Congo (la),,24848,25838,52234,53964,56838,55555,5622,4018,50686,106198,112393,9640,139515,139515,279030,
Gemena,CD4202,Sud-Ubangi,CD42,République démocratique du Congo (la),,110588,114997,232478,240177,252968,247256,25024,17883,225585,472655,500224,42907,599822,642045,1241867,
Budjala,CD4203,Sud-Ubangi,CD42,République démocratique du Congo (la),,57238,59520,120326,124311,130931,127975,12952,9256,116758,244637,258906,22208,310455,332310,642765,
Kungu,CD4204,Sud-Ubangi,CD42,République démocratique du Congo (la),,43492,45226,91429,94457,99487,97241,9841,7033,88718,185886,196728,16874,235898,252503,488401,
Libenge,CD4205,Sud-Ubangi,CD42,République démocratique du Congo (la),,37181,38664,78162,80751,85052,83131,8413,6012,75845,158913,168183,14425,201669,215865,417534,
Zongo,CD4206,Sud-Ubangi,CD42,République démocratique du Congo (la),,7292,7583,15330,15837,16681,16304,1650,1179,14875,31167,32985,2829,39552,42337,81889,
Gbadolite,CD4301,Nord-Ubangi,CD43,République démocratique du Congo (la),,14159,14724,29766,30752,32389,31658,3204,2290,28883,60518,64047,5494,74891,84114,159005,
Mobayi-Mbongo,CD4302,Nord-Ubangi,CD43,République démocratique du Congo (la),,10974,11412,23070,23834,25103,24536,2483,1775,22386,46904,49639,4258,58044,65192,123236,
Yakoma,CD4304,Nord-Ubangi,CD43,République démocratique du Congo (la),,32208,33492,67707,69949,73675,72011,7288,5208,65700,137656,145686,12496,170352,191330,361682,
Businga,CD4305,Nord-Ubangi,CD43,République démocratique du Congo (la),,49365,51333,103774,107211,112921,110371,11170,7983,100698,210985,223292,19153,261099,293251,554350,
Bosobolo,CD4306,Nord-Ubangi,CD43,République démocratique du Congo (la),,34186,35549,71866,74246,78200,76434,7736,5528,69735,146112,154634,13264,180816,203082,383898,
Lisala,CD4402,Mongala,CD44,République démocratique du Congo (la),,63444,65973,133371,137788,145126,141849,14356,10259,129417,271159,286975,24615,357650,354801,712451,
Bumba,CD4404,Mongala,CD44,République démocratique du Congo (la),,89424,92989,187987,194213,204556,199937,20235,14461,182413,382200,404493,34696,504109,500093,1004202,
Bongandanga,CD4405,Mongala,CD44,République démocratique du Congo (la),,71719,74578,150768,155761,164056,160352,16228,11598,146297,306529,324408,27826,404302,401080,805382,
Boende,CD4502,Tshuapa,CD45,République démocratique du Congo (la),,25789,26817,54214,56010,58993,57660,5836,4170,52606,110224,116653,10006,144803,144803,289606,
Befale,CD4503,Tshuapa,CD45,République démocratique du Congo (la),,29312,30481,61620,63660,67051,65537,6633,4740,59793,125280,132588,11373,164582,164582,329164,
Djolu,CD4504,Tshuapa,CD45,République démocratique du Congo (la),,33941,35294,71351,73714,77640,75887,7680,5489,69235,145065,153527,13169,190575,190575,381150,
Ikela,CD4505,Tshuapa,CD45,République démocratique du Congo (la),,31425,32678,66062,68250,71885,70262,7111,5082,64103,134312,142147,12193,176449,176449,352898,
Bokungu,CD4506,Tshuapa,CD45,République démocratique du Congo (la),,55962,58193,117642,121538,128011,125120,12663,9049,114155,239180,253131,21712,314215,314215,628430,
Monkoto,CD4507,Tshuapa,CD45,République démocratique du Congo (la),,12346,12839,25955,26814,28242,27604,2794,1997,25185,52769,55846,4791,69323,69323,138646,
Kisangani,CD5101,Tshopo,CD51,République démocratique du Congo (la),,68272,71668,154863,162593,203207,196550,20598,16532,139940,317456,399757,37130,445912,447700,893612,
Ubundu,CD5102,Tshopo,CD51,République démocratique du Congo (la),,25341,26601,57481,60350,75426,72955,7645,6136,51942,117831,148381,13781,165512,166175,331687,
Opala,CD5103,Tshopo,CD51,République démocratique du Congo (la),,21403,22468,48549,50973,63705,61618,6457,5183,43871,99522,125323,11640,139793,140353,280146,
Isangi,CD5105,Tshopo,CD51,République démocratique du Congo (la),,45818,48097,103930,109118,136375,131907,13823,11095,93915,213048,268282,24918,299256,300456,595040,"Formerly 599712. Manually edited, based on Meta population TIFF"
Yangambi,CD5106,Tshopo,CD51,République démocratique du Congo (la),Population is reflected in CD5105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4672,"Formerly 0. Manually edited, based on Meta population TIFF"
Yahuma,CD5107,Tshopo,CD51,République démocratique du Congo (la),,14819,15556,33614,35292,44107,42662,4471,3588,30375,68906,86769,8059,96788,97175,193963,
Basoko,CD5109,Tshopo,CD51,République démocratique du Congo (la),,27751,29131,62947,66089,82598,79892,8372,6720,56882,129036,162490,15092,181251,181977,363228,
Banalia,CD5110,Tshopo,CD51,République démocratique du Congo (la),,20873,21911,47347,49711,62128,60093,6297,5054,42784,97058,122221,11351,136332,136878,273210,
Bafwasende,CD5111,Tshopo,CD51,République démocratique du Congo (la),,17083,17933,38750,40685,50847,49181,5154,4137,35016,79435,100028,9291,111578,112025,223603,
Buta,CD5202,Bas-Uele,CD52,République démocratique du Congo (la),,21560,22632,48905,51346,64172,62070,6505,5221,44192,100251,126242,11726,136020,146179,282199,
Aketi,CD5204,Bas-Uele,CD52,République démocratique du Congo (la),,16940,17782,38425,40343,50420,48769,5111,4102,34722,78768,99189,9213,106872,114854,221726,
Bondo,CD5206,Bas-Uele,CD52,République démocratique du Congo (la),,20747,21779,47061,49410,61753,59730,6259,5024,42526,96471,121483,11283,130892,140668,271560,
Ango,CD5207,Bas-Uele,CD52,République démocratique du Congo (la),,8543,8968,19378,20345,25427,24594,2577,2069,17511,39723,50021,4646,53895,57920,111815,
Poko,CD5208,Bas-Uele,CD52,République démocratique du Congo (la),,18503,19423,41970,44065,55072,53267,5582,4480,37926,86035,108339,10062,116731,125449,242180,
Bambesa,CD5209,Bas-Uele,CD52,République démocratique du Congo (la),,10264,10775,23282,24444,30550,29549,3097,2485,21039,47726,60099,5582,64755,69591,123820,"Formerly 134346. Manually edited, based on Meta population TIFF"
Dingila,CD5210,Bas-Uele,CD52,République démocratique du Congo (la),Population is reflected in CD5209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10526,"Formerly 0. Manually edited, based on Meta population TIFF"
Isiro,CD5301,Haut-Uele,CD53,République démocratique du Congo (la),Population is reflected in CD5302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67213,"Formerly 0. Manually edited, based on Meta population TIFF"
Rungu,CD5302,Haut-Uele,CD53,République démocratique du Congo (la),,28453,29868,64540,67762,84688,81914,8584,6890,58321,132302,166602,15474,192168,180251,305206,"Formerly 372419. Manually edited, based on Meta population TIFF"
Niangara,CD5303,Haut-Uele,CD53,République démocratique du Congo (la),,9317,9781,21135,22190,27733,26824,2811,2256,19098,43325,54557,5067,62929,59027,121956,
Dungu,CD5305,Haut-Uele,CD53,République démocratique du Congo (la),,15817,16604,35878,37669,47078,45536,4772,3830,32421,73547,92614,8602,106827,100202,207029,
Aba,CD5306,Haut-Uele,CD53,République démocratique du Congo (la),Population is reflected in CD5307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38466,"Formerly 0. Manually edited, based on Meta population TIFF"
Faradje,CD5307,Haut-Uele,CD53,République démocratique du Congo (la),,29730,31208,67437,70803,88489,85590,8970,7199,60938,138240,174079,16169,200793,188340,350667,"Formerly 389133. Manually edited, based on Meta population TIFF"
Watsa,CD5309,Haut-Uele,CD53,République démocratique du Congo (la),,22915,24055,51980,54574,68207,65972,6914,5549,46970,106554,134179,12463,154770,145171,299941,
Wamba,CD5311,Haut-Uele,CD53,République démocratique du Congo (la),,33348,35007,75645,79420,99259,96007,10061,8075,68355,155065,195266,18136,225232,211264,436496,
Bunia,CD5401,Ituri,CD54,République démocratique du Congo (la),Population is reflected in CD5402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175062,"Formerly 0. Manually edited, based on Meta population TIFF"
Irumu,CD5402,Ituri,CD54,République démocratique du Congo (la),,77053,80886,174782,183506,229344,221831,23247,18658,157939,358288,451175,41905,512344,496207,833489,"Formerly 1008551. Manually edited, based on Meta population TIFF"
Mambasa,CD5403,Ituri,CD54,République démocratique du Congo (la),,28814,30247,65359,68621,85763,82953,8693,6977,59061,133980,168716,15670,191589,185555,377144,
Mongwalu,CD5404,Ituri,CD54,République démocratique du Congo (la),Population is reflected in CD5405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1453,"Formerly 0. Manually edited, based on Meta population TIFF"
Djugu,CD5405,Ituri,CD54,République démocratique du Congo (la),,139091,146009,315504,331252,413997,400433,41964,33680,285100,646756,814430,75644,924848,895718,1819113,"Formerly 1820566. Manually edited, based on Meta population TIFF"
Mahagi,CD5407,Ituri,CD54,République démocratique du Congo (la),,107117,112445,242976,255104,318828,308382,32317,25938,219562,498080,627210,58255,712244,689812,1402056,
Aru,CD5409,Ituri,CD54,République démocratique du Congo (la),,76676,80489,173925,182606,228220,220744,23133,18567,157165,356531,448964,41700,509833,493775,982674,"Formerly 1003608. Manually edited, based on Meta population TIFF"
Ariwara,CD5410,Ituri,CD54,République démocratique du Congo (la),Population is reflected in CD5409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8384,"Formerly 0. Manually edited, based on Meta population TIFF"
Ingbokolo,CD5411,Ituri,CD54,République démocratique du Congo (la),Population is reflected in CD5409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12550,"Formerly 0. Manually edited, based on Meta population TIFF"
Goma,CD6101,Nord-Kivu,CD61,République démocratique du Congo (la),,94091,97339,180827,186558,192338,181257,10508,12370,191430,367385,373595,22878,490993,464247,955240,
Nyiragongo,CD6102,Nord-Kivu,CD61,République démocratique du Congo (la),,47046,48669,90413,93279,96169,90628,5254,6185,95715,183692,186797,11439,245497,232123,477620,
Masisi,CD6103,Nord-Kivu,CD61,République démocratique du Congo (la),,203338,210357,390780,403166,415656,391709,22708,26733,413695,793946,807365,49441,1061073,1003271,2064344,
Walikale,CD6104,Nord-Kivu,CD61,République démocratique du Congo (la),,63846,66050,122702,126591,130512,122993,7130,8394,129896,249293,253505,15524,333168,315019,648187,
Lubero,CD6105,Nord-Kivu,CD61,République démocratique du Congo (la),,158116,163574,303871,313503,323214,304594,17658,20788,321690,617374,627808,38446,825091,780145,1605236,
Oïcha,CD6107,Nord-Kivu,CD61,République démocratique du Congo (la),,153331,158624,294676,304016,313434,295376,17123,20159,311955,598692,608810,37282,800124,756537,1556661,
Beni,CD6109,Nord-Kivu,CD61,République démocratique du Congo (la),,41521,42954,79796,82325,84875,79986,4637,5459,84475,162121,164861,10096,216667,204864,421531,
Butembo,CD6110,Nord-Kivu,CD61,République démocratique du Congo (la),,78993,81719,151810,156622,161474,152171,8822,10385,160712,308432,313645,19207,412205,389751,801956,
Rutshuru,CD6111,Nord-Kivu,CD61,République démocratique du Congo (la),,168423,174236,323680,333939,344284,324449,18809,22143,342659,657619,668733,40952,878877,831000,1709877,
Bukavu,CD6201,Sud-Kivu,CD62,République démocratique du Congo (la),,95010,97334,180141,183240,196121,189729,13365,14140,192344,363381,385850,27505,487156,481345,968501,
Kabare,CD6202,Sud-Kivu,CD62,République démocratique du Congo (la),,103074,105596,195431,198793,212767,205833,14500,15340,208670,394224,418600,29840,528504,522199,1050703,
Shabunda,CD6203,Sud-Kivu,CD62,République démocratique du Congo (la),,67031,68671,127092,129278,138366,133856,9429,9976,135702,256370,272222,19405,343694,339595,683289,
Kalehe,CD6205,Sud-Kivu,CD62,République démocratique du Congo (la),,84054,86110,159368,162110,173506,167851,11824,12510,170164,321478,341357,24334,430980,425839,856819,
Idjwi,CD6206,Sud-Kivu,CD62,République démocratique du Congo (la),,28247,28938,53557,54478,58308,56407,3974,4204,57185,108035,114715,8178,144834,143106,287940,
Walungu,CD6207,Sud-Kivu,CD62,République démocratique du Congo (la),,75827,77682,143770,146243,156524,151422,10667,11285,153509,290013,307946,21952,388797,384159,772956,
Uvira,CD6208,Sud-Kivu,CD62,République démocratique du Congo (la),,85375,87464,161874,164659,176234,170490,12010,12706,172839,326533,346724,24716,437756,432534,870290,
Fizi,CD6210,Sud-Kivu,CD62,République démocratique du Congo (la),,83742,85791,158776,161508,172861,167227,11780,12463,169533,320284,340088,24243,429379,424258,846301,"Formerly 853637. Manually edited, based on Meta population TIFF"
Baraka,CD6211,Sud-Kivu,CD62,République démocratique du Congo (la),Population is reflected in CD6210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7336,"Formerly 0. Manually edited, based on Meta population TIFF"
Mwenga,CD6212,Sud-Kivu,CD62,République démocratique du Congo (la),,74636,76462,141512,143946,154065,149044,10499,11108,151098,285458,303109,21607,382690,378125,717390,"Formerly 760815. Manually edited, based on Meta population TIFF"
Kamituga,CD6213,Sud-Kivu,CD62,République démocratique du Congo (la),Population is reflected in CD6212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43425,"Formerly 0. Manually edited, based on Meta population TIFF"
Kindu,CD6301,Maniema,CD63,République démocratique du Congo (la),,26947,27686,50158,53590,63567,58412,4358,5213,54633,103748,121979,9571,145668,143930,289598,
Kailo,CD6302,Maniema,CD63,République démocratique du Congo (la),,14654,15056,27277,29143,34569,31765,2370,2835,29710,56420,66334,5205,79216,78272,157488,
Punia,CD6303,Maniema,CD63,République démocratique du Congo (la),,17643,18127,32841,35088,41620,38245,2854,3413,35770,67929,79865,6267,95375,94238,189613,
Lubutu,CD6305,Maniema,CD63,République démocratique du Congo (la),,20700,21268,38531,41167,48831,44871,3348,4004,41968,79698,93702,7352,111900,110566,222466,
Pangi,CD6307,Maniema,CD63,République démocratique du Congo (la),,38706,39767,72046,76975,91305,83901,6260,7487,78473,149021,175206,13747,209232,206737,414205,"Formerly 415969. Manually edited, based on Meta population TIFF"
Kalima,CD6308,Maniema,CD63,République démocratique du Congo (la),Population is reflected in CD6307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1764,"Formerly 0. Manually edited, based on Meta population TIFF"
Kabambare,CD6309,Maniema,CD63,République démocratique du Congo (la),,44410,45627,82662,88318,104760,96264,7183,8591,90037,170980,201024,15774,240064,237201,475812,"Formerly 477265. Manually edited, based on Meta population TIFF"
Namoya,CD6310,Maniema,CD63,République démocratique du Congo (la),Population is reflected in CD6309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1453,"Formerly 0. Manually edited, based on Meta population TIFF"
Kasongo,CD6311,Maniema,CD63,République démocratique du Congo (la),,62777,64497,116851,124845,148087,136078,10154,12144,127274,241696,284165,22298,339352,335305,674657,
Kibombo,CD6313,Maniema,CD63,République démocratique du Congo (la),,19493,20027,36283,38765,45982,42253,3153,3771,39520,75048,88235,6924,105371,104114,209485,
Lubumbashi,CD7101,Haut-Katanga,CD71,République démocratique du Congo (la),,280132,285614,537131,546892,489528,479500,30621,25539,565746,1084023,969028,56160,1339818,1334470,2674288,
Kipushi,CD7102,Haut-Katanga,CD71,République démocratique du Congo (la),,35135,35822,67368,68593,61398,60140,3841,3203,70957,135961,121538,7044,168043,167373,335416,
Sakania,CD7104,Haut-Katanga,CD71,République démocratique du Congo (la),,27797,28341,53299,54268,48576,47580,3038,2534,56138,107567,96156,5572,132949,132419,265368,
Kambove,CD7105,Haut-Katanga,CD71,République démocratique du Congo (la),,105554,107620,202392,206070,184455,180676,11538,9623,213174,408462,365131,21161,504845,502830,1007675,
Likasi,CD7106,Haut-Katanga,CD71,République démocratique du Congo (la),,16719,17047,32058,32641,29217,28619,1828,1524,33766,64699,57836,3352,79966,79647,159613,
Kasenga,CD7107,Haut-Katanga,CD71,République démocratique du Congo (la),,72580,74001,139167,141696,126834,124236,7934,6617,146581,280863,251070,14551,347139,345753,692892,
Mitwaba,CD7108,Haut-Katanga,CD71,République démocratique du Congo (la),,34453,35127,66060,67261,60206,58972,3766,3141,69580,133321,119178,6907,164781,164123,328904,
Pweto,CD7109,Haut-Katanga,CD71,République démocratique du Congo (la),,66871,68180,128220,130550,116857,114463,7310,6097,135051,258770,231320,13407,319831,318555,638386,
Kolwezi,CD7201,Lualaba,CD72,République démocratique du Congo (la),Population is reflected in CD7202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,"Formerly 0. Manually edited, based on Meta population TIFF"
Mutshatsha,CD7202,Lualaba,CD72,République démocratique du Congo (la),,63729,64976,122195,124416,111366,109084,6966,5810,128705,246611,220450,12776,314538,293852,607617,"Formerly 608390. Manually edited, based on Meta population TIFF"
Lubudi,CD7203,Lualaba,CD72,République démocratique du Congo (la),,60684,61871,116356,118471,106044,103872,6633,5532,122555,234827,209916,12165,299507,279811,579318,
Kasaji,CD7204,Lualaba,CD72,République démocratique du Congo (la),Population is reflected in CD7205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48331,"Formerly 0. Manually edited, based on Meta population TIFF"
Dilolo,CD7205,Lualaba,CD72,République démocratique du Congo (la),,52256,53278,100196,102017,91316,89446,5712,4764,105534,202213,180762,10476,257911,240949,450529,"Formerly 498860. Manually edited, based on Meta population TIFF"
Sandoa,CD7206,Lualaba,CD72,République démocratique du Congo (la),,40159,40945,77002,78402,70178,68740,4390,3661,81104,155404,138918,8051,198208,185174,383382,
Kapanga,CD7207,Lualaba,CD72,République démocratique du Congo (la),,28774,29337,55172,56175,50282,49252,3145,2623,58111,111347,99534,5768,142016,132676,274692,
Kamina,CD7302,Haut-Lomami,CD73,République démocratique du Congo (la),,72612,74033,139227,141757,126888,124289,7937,6620,146645,280984,251177,14557,363924,329265,693189,
Kaniama,CD7303,Haut-Lomami,CD73,République démocratique du Congo (la),,33511,34167,64255,65422,58560,57361,3663,3055,67678,129677,115921,6718,167955,151959,319914,
Kabongo,CD7304,Haut-Lomami,CD73,République démocratique du Congo (la),,87532,89245,167835,170885,152961,149827,9568,7980,176777,338720,302788,17548,438703,396921,835624,
Malemba-Nkulu,CD7305,Haut-Lomami,CD73,République démocratique du Congo (la),,108539,110663,208115,211897,189671,185786,11864,9895,219202,420012,375457,21759,543991,492182,1036173,
Bukama,CD7306,Haut-Lomami,CD73,République démocratique du Congo (la),,124593,127031,238897,243238,217725,213265,13619,11359,251624,482135,430990,24978,624450,564979,1189429,
Kalemie,CD7402,Tanganyika,CD74,République démocratique du Congo (la),,75596,77076,144950,147584,132104,129398,8263,6892,152672,292534,261502,15155,373110,348573,721683,
Kaoze,CD7403,Tanganyika,CD74,République démocratique du Congo (la),Population is reflected in CD7404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30822,"Formerly 0. Manually edited, based on Meta population TIFF"
Moba,CD7404,Tanganyika,CD74,République démocratique du Congo (la),,56596,57704,108518,110490,98901,96875,6186,5160,114300,219008,195776,11346,279333,260962,509473,"Formerly 540295. Manually edited, based on Meta population TIFF"
Manono,CD7406,Tanganyika,CD74,République démocratique du Congo (la),,81822,83423,156888,159739,142984,140054,8944,7460,165245,316627,283038,16404,403838,377280,781118,
Kabalo,CD7407,Tanganyika,CD74,République démocratique du Congo (la),,29373,29948,56321,57344,51329,50278,3211,2678,59321,113665,101607,5889,144972,135439,280411,
Kongolo,CD7409,Tanganyika,CD74,République démocratique du Congo (la),,57275,58396,109821,111817,100088,98038,6261,5222,115671,221638,198126,11483,282686,264095,546781,
Nyunzu,CD7410,Tanganyika,CD74,République démocratique du Congo (la),,30172,30763,57853,58904,52726,51646,3298,2751,60935,116757,104372,6049,148917,139123,288040,
Kabinda,CD8102,Lomami,CD81,République démocratique du Congo (la),,74200,75973,145147,149434,138976,136648,11233,7280,150173,294581,275624,18513,374693,364347,739040,
Mwene-Ditu,CD8103,Lomami,CD81,République démocratique du Congo (la),,74550,76332,145832,150139,139632,137293,11286,7314,150882,295971,276925,18600,376460,366065,742525,
