ADM2_FR,Attack Rate,cases,deaths,Pop_Density,Percentage_displaced_population,displaced_population,Poverty,Percentage_Vulnerable_Population,Lack of HCF,Country,Hazard and Exposure,Vulnerability,Lack of Coping Capacity,Risk
ABA,3.645876235660035,0.7770515613652867,,8.796507,,,6.1094434604269585,,9.595248296580413,0.0,8.796507,6.1094434604269585,9.595248296580413,8.16706621290708
AKETI,1.771007327902532,1.5520282186948855,,0.124759406,,,8.712390374769459,,7.527745659367821,0.7234042553191489,0.124759406,8.712390374769459,7.527745659367821,5.4549651466628815
ANGO,2.1974195438191195,0.8249158249158249,,0.046644162,,,8.186321121158448,,3.1977815323804766,0.8936170212765958,0.046644162,8.186321121158448,3.1977815323804766,3.8102489386418603
ARIWARA,8.029137897761386,0.3350970017636684,,,,,,,,0.1702127659574468,,,,
ARU,0.191238039142589,0.34465020576131683,,1.9981755,3.177350125069102,3.2069805194805197,6.210125888707305,,6.794763260427511,4.170212765957447,1.9981755,4.6937380068882035,6.794763260427511,4.545103694006836
BAFWASENDE,1.0536845322822597,0.43209876543209874,,0.07671764,,,9.265654182324333,,2.3591249814657527,2.0425531914893615,0.07671764,9.265654182324333,2.3591249814657527,3.9004989337564635
BAGATA,2.5499366102457475,2.378167641325536,,0.13828272,,,6.4103099579722755,2.1344374213431307,,9.404255319148936,0.13828272,4.272373689657703,,2.894343365196556
BANALIA,1.9163689508022737,1.8967452300785632,,0.1905488,,,8.216999160995618,,,3.872340425531915,0.1905488,8.216999160995618,,4.203773984189101
BANDUNDU,1.0661748864104017,1.4334705075445815,,9.240521,,,2.2711245400556046,2.1335648716046958,5.769385611740457,1.0638297872340425,9.240521,2.20234470583015,5.769385611740457,4.853649113592499
BASANKUSU,1.0497542974123266,1.386514719848053,,0.31004417,,,8.682791200225532,,7.20396130820289,1.4893617021276595,0.31004417,8.682791200225532,7.20396130820289,5.398932225951462
BASOKO,0.9266396331619735,0.6172839506172839,,0.20902863,,,8.130751508210258,,4.071055012482817,2.6382978723404253,0.20902863,8.130751508210258,4.071055012482817,4.1369450507139405
BEFALE,1.3731174084030537,0.8289241622574955,,0.18451342,,,8.920044310181348,,7.837558244646797,0.9787234042553193,0.18451342,8.920044310181348,7.837558244646797,5.647371991564903
