ADM2_FR,Attack Rate,cases,deaths,Pop_Density,Percentage_displaced_population,displaced_population,Poverty,Percentage_Vulnerable_Population,Lack of HCF,Country,Hazard and Exposure,Vulnerability,Lack of Coping Capacity,Risk
ABA,3.272453478103307,1.2677725118483414,,8.796507,,,6.109443460426959,,9.595248296580413,0.0,8.796507,6.109443460426959,9.595248296580413,8.16706621290708
AKETI,1.135439195121202,0.5687203791469194,,0.124759406,,,8.712390374769459,,7.52774565936782,0.7234042553191489,0.124759406,8.712390374769459,7.52774565936782,5.4549651466628815
ANGO,2.532986986089738,2.3222748815165875,,0.046644166,,,8.186321121158448,,3.1977815323804766,0.8936170212765958,0.046644166,8.186321121158448,3.1977815323804766,3.8102489398836235
ARIWARA,6.255874060150376,0.2843601895734597,,,,,,,,0.1702127659574468,,,,
ARU,0.34159363936557274,0.7582938388625592,,1.9981756,3.1773501250691023,3.2069805194805197,6.210125888707305,,6.794763260427511,4.170212765957447,1.9981756,4.6937380068882035,6.794763260427511,4.5451037238091585
BAFWASENDE,1.313559252217923,0.6635071090047394,,0.07671764,,,9.265654182324333,,2.3591249814657527,2.0425531914893615,0.07671764,9.265654182324333,2.3591249814657527,3.9004989337564635
BAGATA,2.0902744145332615,2.4012638230647707,,0.13828272,,,6.4103099579722755,2.1344374213431307,,9.404255319148936,0.13828272,4.272373689657703,,2.894343365196556
BANALIA,3.4171392574991897,2.1090047393364926,,0.19054882,,,8.216999160995618,,,3.872340425531915,0.19054882,8.216999160995618,,4.2037739916396815
BANDUNDU,0.5513428794313125,2.0023696682464456,,9.240521,,,2.2711245400556046,2.1335648716046958,5.769385611740457,1.0638297872340425,9.240521,2.20234470583015,5.769385611740457,4.853649113592499
BASANKUSU,0.5758102621581676,0.5213270142180094,,0.31004417,,,8.682791200225532,,7.20396130820289,1.4893617021276595,0.31004417,8.682791200225532,7.20396130820289,5.398932225951462
BASOKO,1.5883734990785627,1.3033175355450237,,0.20902865,,,8.130751508210258,,4.071055012482817,2.6382978723404253,0.20902865,8.130751508210258,4.071055012482817,4.136945055680994
BEFALE,1.2428580748148215,0.9241706161137442,,0.18451342,,,8.920044310181348,,7.837558244646797,0.9787234042553192,0.18451342,8.920044310181348,7.837558244646797,5.647371991564903
BENI,1.5096972951605356,1.4375987361769351,,,3.9680864783608514,2.6938997513562386,3.263386422470975,3.062047658647607,8.25837204044552,1.0638297872340425,,3.4311735198264777,8.25837204044552,4.637973149981239
BIKORO,3.4831483676650787,2.7251184834123223,,0.3963881,,,7.945401165506412,,6.242150971855479,1.6595744680851063,0.3963881,7.945401165506412,6.242150971855479,4.861313416953526
BOENDE,3.4289313679425177,2.243285939968404,,0.2776636,,,8.539683526166234,,7.723165312325094,0.8936170212765958,0.2776636,8.539683526166234,7.723165312325094,5.513504142338398
BOKUNGU,3.7501703433511775,5.323854660347552,,0.20003405,,,8.697289958412068,,9.436503908244267,0.7659574468085106,0.20003405,8.697289958412068,9.436503908244267,6.111275972929964
BOLOBO,,4.218009478672986,,0.4973737,,,5.913832658416078,2.1344208030845073,,2.5106382978723403,0.4973737,4.024126730750293,,2.8485423872141644
BOLOMBA,8.029385495680947,8.767772511848342,,0.26913813,,,9.615575563509598,,9.019092687844415,0.8085106382978724,0.26913813,9.615575563509598,9.019092687844415,6.301268792973133
BOMA,2.0002293079803097,2.243285939968404,,,,,,,,5.829787234042553,,,,
BOMONGO,4.713559656746908,4.597156398104265,,0.14612727,,,8.469307286217886,,7.310870020398321,0.7234042553191489,0.14612727,8.469307286217886,7.310870020398321,5.308768191762732
